Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
185,NEKOR960789858,Politician/Family Member or Close Asscociates,14152,8486368,Occupational Loans,13724,762,4,3048,10,18,"[14152.0,8486368.0,762.0,3048.0,10.0,18.0]","[0.3272109595404579,3.413313779823458,0.16794779167361937,0.149687439487637,3.153546993593705,1.7109665506042964]",1
186,NEKOR996028030,Lawyer/Accountant,41965,8211664,Personal loan,38841,1618,22,35596,5,24,"[41965.0,8211664.0,1618.0,35596.0,5.0,24.0]","[0.9702803785412181,3.3028247050422768,0.3566135523988401,1.7481214225728106,1.5767734967968525,2.2812887341390615]",1
200,NEKOR183663724,Retired,15189,9984391,Vehicle loan,12859,2143,4,8572,8,6,"[15189.0,9984391.0,2143.0,8572.0,8.0,6.0]","[0.3511876246791984,4.0158356771053665,0.4723256135912943,0.4209713685328164,2.522837594874964,0.5703221835347654]",1
208,NEKOR206459615,Politician/Family Member or Close Asscociates,23550,9278573,Personal loan,10486,3495,3,10485,9,3,"[23550.0,9278573.0,3495.0,10485.0,9.0,3.0]","[0.5445038225818106,3.7319476456828036,0.7703117216526242,0.5149188986311922,2.8381922942343345,0.2851610917673827]",1
209,NEKOR619381677,Business Owner/Personal Business,335648,9483920,Vehicle loan,291274,8090,4,32360,6,36,"[335648.0,9483920.0,8090.0,32360.0,6.0,36.0]","[7.760578303267073,3.8145405458192823,1.7830677619942004,1.5892012932480097,1.8921281961562229,3.4219331012085927]",1
214,NEKOR657583640,Retired,3728,7869814,Occupational Loans,3448,143,4,572,9,24,"[3728.0,7869814.0,143.0,572.0,9.0,24.0]","[0.08619576435605054,3.165328744976363,0.03151776142956374,0.02809094993009461,2.8381922942343345,2.2812887341390615]",1
287,NEKOR443404303,Politician/Family Member or Close Asscociates,13617,7686528,Occupational Loans,13541,752,5,3760,1,18,"[13617.0,7686528.0,752.0,3760.0,1.0,18.0]","[0.31484112747755905,3.0916090300819907,0.1657437524128107,0.18465379674327925,0.3153546993593705,1.7109665506042964]",1
298,NEKOR915864578,Politician/Family Member or Close Asscociates,17847,8137068,Personal loan,4166,347,11,3817,6,12,"[17847.0,8137068.0,347.0,3817.0,6.0,12.0]","[0.41264372490945117,3.2728213449806214,0.07648016235006026,0.18745306972582362,1.8921281961562229,1.1406443670695308]",1
305,NEKOR242197381,Politician/Family Member or Close Asscociates,5988,9878852,Occupational Loans,5852,1950,3,5850,5,3,"[5988.0,9878852.0,1950.0,5850.0,5.0,3.0]","[0.13844963437876356,3.9733866903293054,0.42978765585768736,0.2872938061032403,1.5767734967968525,0.2851610917673827]",1
318,NEKOR553892976,Politician/Family Member or Close Asscociates,4702,7369468,Personal loan,4249,118,13,1534,6,36,"[4702.0,7369468.0,118.0,1534.0,6.0,36.0]","[0.1087157950649543,2.9640838901127102,0.026007663277542104,0.0753348202670719,1.8921281961562229,3.4219331012085927]",1
325,NEKOR657112396,Politician/Family Member or Close Asscociates,8161,9820592,Personal loan,5912,164,4,656,9,36,"[8161.0,9820592.0,164.0,656.0,9.0,36.0]","[0.18869196161741641,3.9499538553623896,0.03614624387726191,0.032216194325423185,2.8381922942343345,3.4219331012085927]",1
333,NEKOR747794333,Retired,3623,8915076,Personal loan,3536,196,3,588,5,18,"[3623.0,8915076.0,196.0,588.0,5.0,18.0]","[0.08376804030632272,3.585745015885877,0.0431991695118496,0.02887671076730005,1.5767734967968525,1.7109665506042964]",1
336,NEKOR343967640,Business Owner/Personal Business,72332,9795855,Occupational Loans,11810,656,15,9840,5,18,"[72332.0,9795855.0,656.0,9840.0,5.0,18.0]","[1.672401294903929,3.940004352468868,0.14458497550904764,0.4832429148813478,1.5767734967968525,1.7109665506042964]",1
339,NEKOR727141442,Politician/Family Member or Close Asscociates,5037,9340436,Vehicle loan,4180,232,12,2784,2,18,"[5037.0,9340436.0,232.0,2784.0,2.0,18.0]","[0.11646139084265734,3.7568296482498873,0.05113371085076075,0.13672238567374717,0.630709398718741,1.7109665506042964]",1
346,NEKOR766208476,Retired,24285,6343352,Personal loan,12246,1020,11,11220,1,12,"[24285.0,6343352.0,1020.0,11220.0,1.0,12.0]","[0.5614978909299054,2.5513683582741984,0.2248120046024826,0.5510147870903173,0.3153546993593705,1.1406443670695308]",1
350,NEKOR166599387,Politician/Family Member or Close Asscociates,9426,6816468,Vehicle loan,5039,419,7,2933,4,12,"[9426.0,6816468.0,419.0,2933.0,4.0,12.0]","[0.21794025612128015,2.7416609972753534,0.09234924502788255,0.14403978347022287,1.261418797437482,1.1406443670695308]",1
356,NEKOR166106203,Lawyer/Accountant,50412,7547896,Vehicle loan,41862,1162,19,22078,5,36,"[50412.0,7547896.0,1162.0,22078.0,5.0,36.0]","[1.1655849980464645,3.0358496621257007,0.25610936210596547,1.0842517352388614,1.5767734967968525,3.4219331012085927]",1
361,NEKOR216193059,Business Owner/Personal Business,62190,8133910,Vehicle loan,44236,1843,9,16587,8,24,"[62190.0,8133910.0,1843.0,16587.0,8.0,24.0]","[1.4379062728816479,3.2715511614443096,0.40620443576703474,0.8145884379204182,2.522837594874964,2.2812887341390615]",1
381,NEKOR059947634,Retired,8304,9195580,Occupational Loans,6484,270,6,1620,2,24,"[8304.0,9195580.0,270.0,1620.0,2.0,24.0]","[0.19199829056133144,3.6985669166678834,0.05950906004183363,0.07955828476705117,0.630709398718741,2.2812887341390615]",1
391,NEKOR943591138,Lawyer/Accountant,101114,8745761,Vehicle loan,99189,11021,4,44084,7,9,"[101114.0,8745761.0,11021.0,44084.0,7.0,9.0]","[2.337875138706463,3.5176445961738385,2.4290716693372163,2.1649675467102982,2.2074828955155934,0.8554832753021482]",1
394,NEKOR571587849,Business Owner/Personal Business,149807,8275842,Occupational Loans,85657,9517,9,85653,2,9,"[149807.0,8275842.0,9517.0,85653.0,2.0,9.0]","[3.4637148258816692,3.328637826952794,2.097584164511595,4.206423311822366,0.630709398718741,0.8554832753021482]",1
414,NEKOR515644882,Retired,33661,6252854,Occupational Loans,15661,652,21,13692,5,24,"[33661.0,6252854.0,652.0,13692.0,5.0,24.0]","[0.7782820879798865,2.5149690328564858,0.14370335980472418,0.6724148364385584,1.5767734967968525,2.2812887341390615]",1
416,NEKOR312183607,Politician/Family Member or Close Asscociates,4769,6530429,Vehicle loan,3473,1157,3,3471,5,3,"[4769.0,6530429.0,1157.0,3471.0,5.0,3.0]","[0.1102649142204949,2.6266128565080757,0.25500734247556117,0.17046099162125591,1.5767734967968525,0.2851610917673827]",1
417,NEKOR683821922,Business Owner/Personal Business,12367,8904677,Vehicle loan,4428,123,23,2829,8,36,"[12367.0,8904677.0,123.0,2829.0,8.0,36.0]","[0.28593965069508503,3.5815624197509477,0.027109682907946433,0.1389323380283875,2.522837594874964,3.4219331012085927]",1
419,NEKOR532196067,Retired,19423,9206711,Occupational Loans,16171,5390,3,16170,3,3,"[19423.0,9206711.0,5390.0,16170.0,3.0,3.0]","[0.4490827068367944,3.703043931532572,1.1879771615758639,0.7941095461007515,0.9460640980781114,0.2851610917673827]",1
426,NEKOR840894650,Lawyer/Accountant,18989,9375764,Occupational Loans,6142,255,7,1785,10,24,"[18989.0,9375764.0,255.0,1785.0,10.0,24.0]","[0.43904811409791944,3.7710389718631934,0.05620300115062065,0.0876614434007323,3.153546993593705,2.2812887341390615]",1
439,NEKOR148372558,Politician/Family Member or Close Asscociates,17442,9976918,Vehicle loan,8179,908,6,5448,1,9,"[17442.0,9976918.0,908.0,5448.0,1.0,9.0]","[0.4032796464319296,4.012829951466716,0.2001267648814257,0.2675515650684535,0.3153546993593705,0.8554832753021482]",1
456,NEKOR261110215,Lawyer/Accountant,35657,7322760,Personal loan,14733,2455,5,12275,7,6,"[35657.0,7322760.0,2455.0,12275.0,7.0,6.0]","[0.8244319661061411,2.9452974010012323,0.5410916385285243,0.6028258922935512,2.2074828955155934,0.5703221835347654]",1
457,NEKOR854318656,Retired,10626,7742876,Vehicle loan,3454,287,10,2870,2,12,"[10626.0,7742876.0,287.0,2870.0,2.0,12.0]","[0.2456856738324552,3.1142728368913932,0.06325592678520835,0.14094585017372643,0.630709398718741,1.1406443670695308]",1
509,NEKOR822848864,Retired,9067,9740338,Occupational Loans,3950,329,5,1645,7,12,"[9067.0,9740338.0,329.0,1645.0,7.0,12.0]","[0.2096397519893536,3.9176747833157908,0.07251289168060468,0.08078603607518467,2.2074828955155934,1.1406443670695308]",1
519,NEKOR807094577,Lawyer/Accountant,32929,7579381,Personal loan,19148,6382,3,19146,9,3,"[32929.0,7579381.0,6382.0,19146.0,9.0,3.0]","[0.7613573831760698,3.04851328740777,1.4066178562480822,0.9402610618209639,2.8381922942343345,0.2851610917673827]",1
520,NEKOR800853743,Lawyer/Accountant,58907,6445372,Vehicle loan,53729,1492,17,25364,2,36,"[58907.0,6445372.0,1492.0,25364.0,2.0,36.0]","[1.361999434260158,2.5924019632059654,0.32884265771265103,1.2456273671799294,0.630709398718741,3.4219331012085927]",1
534,NEKOR049475420,Business Owner/Personal Business,39465,6561414,Occupational Loans,4045,337,11,3707,8,12,"[39465.0,6561414.0,337.0,3707.0,8.0,12.0]","[0.9124774249762699,2.6390753761004184,0.0742761230892516,0.1820509639700362,2.522837594874964,1.1406443670695308]",1
541,NEKOR111381213,Politician/Family Member or Close Asscociates,13239,6676884,Occupational Loans,6933,577,10,5770,9,12,"[13239.0,6676884.0,577.0,5770.0,9.0,12.0]","[0.3061013208985389,2.6855187240858243,0.12717306534865927,0.2833650019172131,2.8381922942343345,1.1406443670695308]",1
560,NEKOR689878577,Politician/Family Member or Close Asscociates,14939,7354637,Vehicle loan,8735,2911,3,8733,2,3,"[14939.0,7354637.0,2911.0,8733.0,2.0,3.0]","[0.34540732932270357,2.958118693144047,0.6415958288213989,0.42887808695719615,0.630709398718741,0.2851610917673827]",1
564,NEKOR341090103,Retired,15171,6701165,Occupational Loans,5065,562,9,5058,9,9,"[15171.0,6701165.0,562.0,5058.0,9.0,9.0]","[0.3507714434135308,2.695284818590316,0.12386700645744629,0.24839864466157086,2.8381922942343345,0.8554832753021482]",1
565,NEKOR468083216,Politician/Family Member or Close Asscociates,3763,6655675,Vehicle loan,3524,587,6,3522,7,6,"[3763.0,6655675.0,587.0,3522.0,7.0,6.0]","[0.08700500570595981,2.6769882229390114,0.12937710460946794,0.17296560428984828,2.2074828955155934,0.5703221835347654]",1
570,NEKOR355251279,Lawyer/Accountant,91002,8136183,Personal loan,79774,4431,3,13293,6,18,"[91002.0,8136183.0,4431.0,13293.0,6.0,18.0]","[2.1040737521269612,3.2724653879098056,0.9766097964643141,0.6528199255607476,1.8921281961562229,1.7109665506042964]",1
575,NEKOR061312135,Politician/Family Member or Close Asscociates,24748,7660100,Personal loan,6125,340,14,4760,9,18,"[24748.0,7660100.0,340.0,4760.0,9.0,18.0]","[0.5722029979301337,3.0809793877458143,0.0749373348674942,0.23376384906861947,2.8381922942343345,1.7109665506042964]",1
578,NEKOR490381110,Politician/Family Member or Close Asscociates,9744,6495098,Occupational Loans,5591,310,13,4030,9,18,"[9744.0,6495098.0,310.0,4030.0,9.0,18.0]","[0.22529279181474154,2.6124023262606313,0.06832521708506824,0.1979135108711211,2.8381922942343345,1.7109665506042964]",1
594,NEKOR371441340,Lawyer/Accountant,60278,6761135,Personal loan,26171,1090,14,15260,6,24,"[60278.0,6761135.0,1090.0,15260.0,6.0,24.0]","[1.3936985739951755,2.719405435016096,0.24024027942814316,0.7494193984846919,1.8921281961562229,2.2812887341390615]",1
617,NEKOR847485877,Business Owner/Personal Business,134970,7722233,Personal loan,91023,10113,6,60678,6,9,"[134970.0,7722233.0,10113.0,60678.0,6.0,9.0]","[3.1206658570644157,3.1059699873853504,2.228944904455791,2.979899754996994,1.8921281961562229,0.8554832753021482]",1
620,NEKOR289536154,Politician/Family Member or Close Asscociates,3207,8305169,Vehicle loan,3092,128,6,768,4,24,"[3207.0,8305169.0,128.0,768.0,4.0,24.0]","[0.07414962883311536,3.340433480078004,0.028211702538350758,0.03771652018586129,1.261418797437482,2.2812887341390615]",1
661,NEKOR336050834,Business Owner/Personal Business,108433,8860652,Vehicle loan,40163,3346,6,20076,9,12,"[108433.0,8860652.0,3346.0,20076.0,9.0,12.0]","[2.507099065563205,3.5638550637705415,0.7374715366665753,0.9859334104835303,2.8381922942343345,1.1406443670695308]",1
685,NEKOR800670972,Politician/Family Member or Close Asscociates,12262,6512605,Vehicle loan,9809,3269,3,9807,3,3,"[12262.0,6512605.0,3269.0,9807.0,3.0,3.0]","[0.28351192664535724,2.6194438408807104,0.7205004343583487,0.4816222831546116,0.9460640980781114,0.2851610917673827]",1
688,NEKOR913169941,Retired,16539,9625312,Occupational Loans,3404,567,3,1701,3,6,"[16539.0,9625312.0,567.0,1701.0,3.0,6.0]","[0.38240121960427037,3.871410017182862,0.12496902608785063,0.08353619900540372,0.9460640980781114,0.5703221835347654]",1
691,NEKOR235303682,Retired,18414,9018754,Vehicle loan,9063,503,12,6036,0,18,"[18414.0,9018754.0,503.0,6036.0,0.0,18.0]","[0.4257534347779814,3.6274454872847763,0.11086317481867525,0.2964282758357536,0.0,1.7109665506042964]",1
709,NEKOR582214402,Lawyer/Accountant,79324,9021469,Personal loan,72812,8090,6,48540,9,9,"[79324.0,9021469.0,8090.0,48540.0,9.0,9.0]","[1.8340645954343757,3.62853749117999,1.7830677619942004,2.3838019398720145,2.8381922942343345,0.8554832753021482]",1
723,NEKOR125267864,Lawyer/Accountant,4588,9873843,Personal loan,4152,230,16,3680,5,18,"[4588.0,9873843.0,230.0,3680.0,5.0,18.0]","[0.10607998038239266,3.971372013529627,0.05069290299859902,0.18072499255725202,1.5767734967968525,1.7109665506042964]",1
728,NEKOR982931160,Business Owner/Personal Business,321718,9709169,Personal loan,248289,10345,8,82760,1,24,"[321718.0,9709169.0,10345.0,82760.0,1.0,24.0]","[7.4385002460031835,3.9051382568296287,2.2800786153065515,4.064347930445157,0.3153546993593705,2.2812887341390615]",1
734,NEKOR713234646,Lawyer/Accountant,82831,9941990,Personal loan,17049,473,23,10879,9,36,"[82831.0,9941990.0,473.0,10879.0,9.0,36.0]","[1.915150578695285,3.9987815124051918,0.10425105703624929,0.5342682592473763,2.8381922942343345,3.4219331012085927]",1
738,NEKOR189208972,Business Owner/Personal Business,438770,7146805,Occupational Loans,257774,14320,9,128880,7,18,"[438770.0,7146805.0,14320.0,128880.0,7.0,18.0]","[10.144880774276903,2.874526297729628,3.156184221477991,6.329303543689848,2.2074828955155934,1.7109665506042964]",1
751,NEKOR320673780,Lawyer/Accountant,21302,9641133,Personal loan,6658,369,9,3321,9,18,"[21302.0,9641133.0,369.0,3321.0,9.0,18.0]","[0.49252740673620937,3.877773403417183,0.0813290487238393,0.1630944837724549,2.8381922942343345,1.7109665506042964]",1
755,NEKOR009930398,Politician/Family Member or Close Asscociates,12213,9400162,Vehicle loan,4235,235,12,2820,9,18,"[12213.0,9400162.0,235.0,2820.0,9.0,18.0]","[0.28237898875548423,3.7808521250990808,0.05179492262900334,0.13849034755745943,2.8381922942343345,1.7109665506042964]",1
762,NEKOR601645335,Lawyer/Accountant,74513,9440575,Personal loan,73103,12183,3,36549,10,6,"[74513.0,9440575.0,12183.0,36549.0,10.0,6.0]","[1.7228285915939898,3.797106693576904,2.685181031443182,1.7949233024388598,3.153546993593705,0.5703221835347654]",1
769,NEKOR362973668,Lawyer/Accountant,54368,9016210,Occupational Loans,25354,1056,9,9504,0,24,"[54368.0,9016210.0,1056.0,9504.0,0.0,24.0]","[1.2570523917676384,3.626422261535448,0.23274654594139377,0.4667419373000335,0.0,2.2812887341390615]",1
808,NEKOR794812508,Retired,8940,7038372,Personal loan,3536,589,3,1767,5,6,"[8940.0,7038372.0,589.0,1767.0,5.0,6.0]","[0.20670336194825423,2.830913311221431,0.12981791246162966,0.08677746245887617,1.5767734967968525,0.5703221835347654]",1
820,NEKOR736907847,Retired,19915,8925619,Vehicle loan,12910,717,18,12906,3,18,"[19915.0,8925619.0,717.0,12906.0,3.0,18.0]","[0.46045832809837617,3.5899855304594466,0.15802961499998042,0.633814335310841,0.9460640980781114,1.7109665506042964]",1
821,NEKOR961038730,Retired,32901,7657661,Occupational Loans,32435,2702,10,27020,2,12,"[32901.0,7657661.0,2702.0,27020.0,2.0,12.0]","[0.7607099900961424,3.079998394191329,0.595531408270498,1.3269536138306928,0.630709398718741,1.1406443670695308]",1
843,NEKOR086773875,Retired,15653,9124486,Personal loan,6902,1150,6,6900,6,6,"[15653.0,9124486.0,1150.0,6900.0,6.0,6.0]","[0.36191585286085276,3.6699721008570716,0.2534645149929951,0.33885936104484754,1.8921281961562229,0.5703221835347654]",1
847,NEKOR811925791,Lawyer/Accountant,39926,7284265,Personal loan,27348,1139,3,3417,1,24,"[39926.0,7284265.0,1139.0,3417.0,1.0,24.0]","[0.9231362896136464,2.9298142739491997,0.25104007180610555,0.16780904879568753,0.3153546993593705,2.2812887341390615]",1
866,NEKOR330579288,Lawyer/Accountant,3323,9137061,Vehicle loan,3203,266,7,1862,1,12,"[3323.0,9137061.0,266.0,1862.0,1.0,12.0]","[0.07683168587852895,3.6750299089536895,0.058627444337510166,0.0914429174297835,0.3153546993593705,1.1406443670695308]",1
873,NEKOR387389691,Politician/Family Member or Close Asscociates,8976,7501871,Vehicle loan,7499,624,5,3120,8,12,"[8976.0,7501871.0,624.0,3120.0,8.0,12.0]","[0.20753572447958948,3.0173378833863893,0.13753204987445994,0.1532233632550615,2.522837594874964,1.1406443670695308]",1
885,NEKOR915452535,Lawyer/Accountant,13095,8881728,Vehicle loan,9479,1053,6,6318,2,9,"[13095.0,8881728.0,1053.0,6318.0,2.0,9.0]","[0.3027718707731979,3.572332070803887,0.23208533416315116,0.31027731059149954,0.630709398718741,0.8554832753021482]",1
891,NEKOR779040538,Retired,18450,8523780,Occupational Loans,11499,3833,3,11499,3,3,"[18450.0,8523780.0,3833.0,11499.0,3.0,3.0]","[0.4265857973093166,3.4283613119515435,0.8448082486679567,0.5647164916890872,0.9460640980781114,0.2851610917673827]",1
914,NEKOR652091567,Politician/Family Member or Close Asscociates,9145,9058994,Occupational Loans,4129,114,10,1140,10,36,"[9145.0,9058994.0,114.0,1140.0,10.0,36.0]","[0.21144320414058,3.6436304731939537,0.025126047573218645,0.05598545965088785,3.153546993593705,3.4219331012085927]",1
927,NEKOR344955739,Lawyer/Accountant,68802,9727288,Vehicle loan,32010,889,23,20447,1,36,"[68802.0,9727288.0,889.0,20447.0,1.0,36.0]","[1.5907835244702224,3.912425924813933,0.19593909028588924,1.0041532398962316,0.3153546993593705,3.4219331012085927]",1
931,NEKOR298510193,Retired,15168,7334425,Personal loan,9622,400,23,9200,7,24,"[15168.0,7334425.0,400.0,9200.0,7.0,24.0]","[0.35070207986925284,2.9499891967425484,0.08816157043234613,0.45181248139313007,2.2074828955155934,2.2812887341390615]",1
940,NEKOR027523534,Retired,28145,7134338,Personal loan,22919,7639,3,22917,2,3,"[28145.0,7134338.0,7639.0,22917.0,2.0,3.0]","[0.6507456512341852,2.869511928461991,1.68366559133173,1.125455069139822,0.630709398718741,0.2851610917673827]",1
946,NEKOR389057970,Lawyer/Accountant,45565,8181915,Occupational Loans,3637,606,5,3030,0,6,"[45565.0,8181915.0,606.0,3030.0,0.0,6.0]","[1.0535166316747433,3.2908593187149378,0.13356477920500437,0.14880345854578086,0.0,0.5703221835347654]",1
961,NEKOR412570651,Business Owner/Personal Business,37395,6796023,Personal loan,32233,1790,15,26850,5,18,"[37395.0,6796023.0,1790.0,26850.0,5.0,18.0]","[0.864616579424493,2.7334377856224426,0.3945230276847489,1.318604904935385,1.5767734967968525,1.7109665506042964]",1
972,NEKOR991143368,Retired,5980,9779192,Vehicle loan,4032,336,10,3360,3,12,"[5980.0,9779192.0,336.0,3360.0,3.0,12.0]","[0.13826466492735576,3.933302304253047,0.07405571916317075,0.16500977581314316,0.9460640980781114,1.1406443670695308]",1
974,NEKOR049618201,Lawyer/Accountant,65287,9078896,Vehicle loan,22477,2497,9,22473,5,9,"[65287.0,9078896.0,2497.0,22473.0,5.0,9.0]","[1.5095125717579054,3.651635284067822,0.5503486034239207,1.1036502059073707,1.5767734967968525,0.8554832753021482]",1
1000,NEKOR524267131,Retired,29296,9380871,Occupational Loans,18162,3027,4,12108,2,6,"[29296.0,9380871.0,3027.0,12108.0,2.0,6.0]","[0.6773581310554873,3.7730930653780583,0.6671626842467793,0.5946245135552194,0.630709398718741,0.5703221835347654]",1
1007,NEKOR514763235,Business Owner/Personal Business,133010,8547625,Occupational Loans,76348,25449,3,76347,9,3,"[133010.0,8547625.0,25449.0,76347.0,9.0,3.0]","[3.075348341469496,3.4379520422945937,5.609059514831941,3.74940516488275,2.8381922942343345,0.2851610917673827]",1
