Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
106,NEKOR645205320,Househusband/Housewife/Unemployed,3650,10000,Vehicle loan,3637,202,15,3030,0,18,"[3650.0,10000.0,202.0,3030.0,0.0,18.0]","[0.08439231220482415,0.004022113794527244,0.04452159306833479,0.14880345854578086,0.0,1.7109665506042964]",2
108,NEKOR080549730,Employee,33734,34372,Personal loan,15375,5125,3,15375,0,3,"[33734.0,34372.0,5125.0,15375.0,0.0,3.0]","[0.7799699342239831,0.013824809534549044,1.1295701211644347,0.755067054502106,0.0,0.2851610917673827]",2
109,NEKOR832518983,Agent/Insurance Broker,32949,458257,Personal loan,19692,820,9,7380,9,24,"[32949.0,458257.0,820.0,7380.0,9.0,24.0]","[0.7618198068045894,0.18431618011386713,0.18073121938630954,0.36243218616101086,2.8381922942343345,2.2812887341390615]",2
111,NEKOR359145171,Househusband/Housewife/Unemployed,7550,128258,Personal loan,6624,1104,3,3312,4,6,"[7550.0,128258.0,1104.0,3312.0,4.0,6.0]","[0.17456491976614313,0.05158682710584753,0.2433259343932753,0.1626524933015268,1.261418797437482,0.5703221835347654]",2
112,NEKOR759033429,Student,25740,59972,Vehicle loan,20713,575,36,20700,5,36,"[25740.0,59972.0,575.0,20700.0,5.0,36.0]","[0.5951392099047051,0.02412142084853879,0.12673225749649755,1.0165780831345426,1.5767734967968525,3.4219331012085927]",2
113,NEKOR630236400,Street Vendor,14403,449800,Personal loan,3595,599,6,3594,6,6,"[14403.0,449800.0,599.0,3594.0,6.0,6.0]","[0.33301437607837875,0.18091467847783543,0.1320219517224383,0.17650152805727276,1.8921281961562229,0.5703221835347654]",2
114,NEKOR461362050,Police/Military,13585,366424,Occupational Loans,10524,1169,9,10521,0,9,"[13585.0,366424.0,1169.0,10521.0,0.0,9.0]","[0.3141012496719277,0.1473799025045851,0.25765218958853153,0.5166868605149045,0.0,0.8554832753021482]",2
115,NEKOR167816783,Police/Military,10772,490087,Vehicle loan,6475,359,18,6462,6,18,"[10772.0,490087.0,359.0,6462.0,6.0,18.0]","[0.24906136632064818,0.19711856832184735,0.07912500946303064,0.3173491581263485,1.8921281961562229,1.7109665506042964]",2
117,NEKOR789932842,Street Vendor,5439,687356,Vehicle loan,4656,194,14,2716,5,24,"[5439.0,687356.0,194.0,2716.0,5.0,24.0]","[0.125756105775901,0.2764624049351068,0.04275836165968787,0.13338290211562404,1.5767734967968525,2.2812887341390615]",2
118,NEKOR375282843,Charity Officer,14963,810950,Vehicle loan,13750,572,20,11440,2,24,"[14963.0,810950.0,572.0,11440.0,2.0,24.0]","[0.3459622376769271,0.32617331816718687,0.12607104571825495,0.5618189986018921,0.630709398718741,2.2812887341390615]",2
119,NEKOR586058558,Police/Military,5977,87606,Occupational Loans,3655,406,9,3654,8,9,"[5977.0,87606.0,406.0,3654.0,8.0,9.0]","[0.1381953013830778,0.03523613010833537,0.0894839939888313,0.17944813119679318,2.522837594874964,0.8554832753021482]",2
121,NEKOR493223851,Employee,46654,24457,Personal loan,43054,3587,9,32283,10,12,"[46654.0,24457.0,3587.0,32283.0,10.0,12.0]","[1.0786955982476345,0.009836883707275281,0.7905888828520639,1.5854198192189584,3.153546993593705,1.1406443670695308]",2
122,NEKOR764341423,Agent/Insurance Broker,18646,340195,Personal loan,4181,232,16,3712,5,18,"[18646.0,340195.0,232.0,3712.0,5.0,18.0]","[0.43111754886880854,0.1368303002329196,0.05113371085076075,0.1822965142316629,1.5767734967968525,1.7109665506042964]",2
126,NEKOR779452357,Charity Officer,9336,681847,Personal loan,3027,336,5,1680,5,9,"[9336.0,681847.0,336.0,1680.0,5.0,9.0]","[0.21585934979294202,0.2742466224457018,0.07405571916317075,0.08250488790657158,1.5767734967968525,0.8554832753021482]",2
128,NEKOR063178371,Student,28287,83991,Vehicle loan,26321,4386,4,17544,6,6,"[28287.0,83991.0,4386.0,17544.0,6.0,6.0]","[0.6540288589966743,0.03378213597161377,0.9666916197906752,0.8615867579957689,1.8921281961562229,0.5703221835347654]",2
132,NEKOR789884118,Docter/Nurse/Pharmacist,53406,243545,Vehicle loan,49557,8259,5,41295,5,6,"[53406.0,243545.0,8259.0,41295.0,5.0,6.0]","[1.2348098152358462,0.09795657040881377,1.8203160255018664,2.0279996107749247,1.5767734967968525,0.5703221835347654]",2
134,NEKOR344413602,Employee,22560,95238,Personal loan,6892,765,3,2295,0,9,"[22560.0,95238.0,765.0,2295.0,0.0,9.0]","[0.5216138529700912,0.03830580735631857,0.16860900345186194,0.11270757008665581,0.0,0.8554832753021482]",2
137,NEKOR041194100,Lawyer/Accountant,30817,217953,Occupational Loans,20422,850,4,3400,8,24,"[30817.0,217953.0,850.0,3400.0,8.0,24.0]","[0.7125254480044017,0.08766317678585965,0.1873433371687355,0.16697417790615676,2.522837594874964,2.2812887341390615]",2
139,NEKOR371854470,Employee,9089,76998,Occupational Loans,5669,629,7,4403,5,9,"[9089.0,76998.0,629.0,4403.0,5.0,9.0]","[0.21014841798072514,0.030969471795100876,0.13863406950486426,0.216231560388473,1.5767734967968525,0.8554832753021482]",2
140,NEKOR282252083,Student,9507,86334,Occupational Loans,4648,516,5,2580,1,9,"[9507.0,86334.0,516.0,2580.0,1.0,9.0]","[0.21981307181678444,0.03472451723367151,0.1137284258577265,0.12670393499937777,0.3153546993593705,0.8554832753021482]",2
142,NEKOR513544440,Student,22006,111068,Occupational Loans,10019,278,7,1946,2,36,"[22006.0,111068.0,278.0,1946.0,2.0,36.0]","[0.5088047184600988,0.04467281349305519,0.061272291450480555,0.09556816182511207,0.630709398718741,3.4219331012085927]",2
150,NEKOR773297926,Police/Military,11111,968043,Personal loan,3812,105,32,3360,3,36,"[11111.0,968043.0,105.0,3360.0,3.0,36.0]","[0.25689944682405513,0.3893579103995537,0.023142412238490857,0.16500977581314316,0.9460640980781114,3.4219331012085927]",2
151,NEKOR805097562,Docter/Nurse/Pharmacist,9088,567011,Personal loan,8982,374,20,7480,1,24,"[9088.0,567011.0,374.0,7480.0,1.0,24.0]","[0.21012529679929917,0.22805827647486873,0.08243106835424362,0.3673431913935449,0.3153546993593705,2.2812887341390615]",2
154,NEKOR636229674,Student,4949,190529,Occupational Loans,4288,119,15,1785,5,36,"[4949.0,190529.0,119.0,1785.0,5.0,36.0]","[0.11442672687717116,0.07663293191574813,0.02622806720362297,0.0876614434007323,1.5767734967968525,3.4219331012085927]",2
157,NEKOR460797077,Agent/Insurance Broker,3963,385403,Vehicle loan,3645,303,11,3333,1,12,"[3963.0,385403.0,303.0,3333.0,1.0,12.0]","[0.09162924199115566,0.15501347227521836,0.06678238960250218,0.16368380440035896,0.3153546993593705,1.1406443670695308]",2
159,NEKOR511793020,Employee,27352,108611,Occupational Loans,22524,3754,4,15016,2,6,"[27352.0,108611.0,3754.0,15016.0,2.0,6.0]","[0.6324105543633837,0.04368458013373985,0.8273963385075683,0.7374365457173088,0.630709398718741,0.5703221835347654]",2
160,NEKOR179941162,Charity Officer,3636,225203,Vehicle loan,3300,1100,3,3300,0,3,"[3636.0,225203.0,1100.0,3300.0,0.0,3.0]","[0.08406861566486044,0.09057920928689189,0.24244431868895183,0.16206317267362275,0.0,0.2851610917673827]",2
163,NEKOR283443428,Politician/Family Member or Close Asscociates,6947,252485,Personal loan,6528,725,4,2900,9,9,"[6947.0,252485.0,725.0,2900.0,9.0,9.0]","[0.16062284736627766,0.10155234014112112,0.15979284640862734,0.14241915174348665,2.8381922942343345,0.8554832753021482]",2
164,NEKOR039477945,Other,23410,765462,Personal loan,5077,1692,3,5076,3,3,"[23410.0,765462.0,1692.0,5076.0,3.0,3.0]","[0.5412668571821736,0.30787752693864134,0.37292344292882407,0.24928262560342698,0.9460640980781114,0.2851610917673827]",2
165,NEKOR139598827,Househusband/Housewife/Unemployed,5024,54926,Occupational Loans,4894,271,10,2710,10,18,"[5024.0,54926.0,271.0,2710.0,10.0,18.0]","[0.1161608154841196,0.022091862227820343,0.059729463967914495,0.133088241801672,3.153546993593705,1.7109665506042964]",2
167,NEKOR645054585,Employee,57705,198036,Occupational Loans,40832,6805,6,40830,9,6,"[57705.0,198036.0,6805.0,40830.0,9.0,6.0]","[1.334207774186131,0.07965233274129974,1.4998487169802883,2.0051634364436413,2.8381922942343345,0.5703221835347654]",2
172,NEKOR442665571,Agent/Insurance Broker,41177,382950,Personal loan,21043,2338,9,21042,4,9,"[41177.0,382950.0,2338.0,21042.0,4.0,9.0]","[0.9520608875775464,0.1540268477614208,0.5153043791770631,1.033373721029809,1.261418797437482,0.8554832753021482]",2
173,NEKOR302469916,Other,67817,62637,Vehicle loan,50307,2794,8,22352,1,18,"[67817.0,62637.0,2794.0,22352.0,1.0,18.0]","[1.5680091607656328,0.0251933141747803,0.6158085694699377,1.0977078895760046,0.3153546993593705,1.7109665506042964]",2
174,NEKOR846024026,Other,4687,659554,Occupational Loans,3214,133,3,399,0,24,"[4687.0,659554.0,133.0,399.0,0.0,24.0]","[0.10836897734356461,0.2652801241635622,0.029313722168755083,0.019594910877810748,0.0,2.2812887341390615]",2
179,NEKOR738753678,Lawyer/Accountant,48914,414901,Occupational Loans,9458,394,12,4728,5,24,"[48914.0,414901.0,394.0,4728.0,5.0,24.0]","[1.1309494682703476,0.16687790354631482,0.08683914687586093,0.2321923273942086,1.5767734967968525,2.2812887341390615]",2
180,NEKOR879076060,Charity Officer,8041,90589,Vehicle loan,5673,157,20,3140,3,36,"[8041.0,90589.0,157.0,3140.0,3.0,36.0]","[0.18591741984629892,0.03643592665324285,0.03460341639469585,0.1542055643015683,0.9460640980781114,3.4219331012085927]",2
182,NEKOR740450022,Docter/Nurse/Pharmacist,20062,20852,Vehicle loan,13532,4510,3,13530,9,3,"[20062.0,20852.0,4510.0,13530.0,9.0,3.0]","[0.46385714176799514,0.00838691168434821,0.9940217066247025,0.6644590079618532,2.8381922942343345,0.2851610917673827]",2
184,NEKOR293130359,Employee,9591,142655,Vehicle loan,5377,1792,3,5376,3,3,"[9591.0,142655.0,1792.0,5376.0,3.0,3.0]","[0.2217552510565667,0.0573774643358284,0.3949638355369106,0.26401564130102906,0.9460640980781114,0.2851610917673827]",2
187,NEKOR942148459,Teacher/Instructor,25775,981004,Vehicle loan,14488,603,7,4221,2,24,"[25775.0,981004.0,603.0,4221.0,2.0,24.0]","[0.5959484512546145,0.39457097208864045,0.13290356742676177,0.2072935308652611,0.630709398718741,2.2812887341390615]",2
188,NEKOR429823485,Teacher/Instructor,4925,546897,Personal loan,4190,232,3,696,2,18,"[4925.0,546897.0,232.0,696.0,2.0,18.0]","[0.11387181852294767,0.2199681967885566,0.05113371085076075,0.03418059641843679,0.630709398718741,1.7109665506042964]",2
192,NEKOR190278842,Charity Officer,6875,420710,Vehicle loan,4572,1524,3,4572,10,3,"[6875.0,420710.0,1524.0,4572.0,10.0,3.0]","[0.15895812230360715,0.16921434944955568,0.33589558334723874,0.2245311592314555,3.153546993593705,0.2851610917673827]",2
193,NEKOR814078461,Student,25338,67335,Occupational Loans,8680,1446,5,7230,7,6,"[25338.0,67335.0,1446.0,7230.0,7.0,6.0]","[0.5858444949714615,0.0270829032354492,0.3187040771129312,0.3550656783122098,2.2074828955155934,0.5703221835347654]",2
194,NEKOR230454120,Docter/Nurse/Pharmacist,27257,972716,Occupational Loans,21253,3542,5,17710,3,6,"[27257.0,972716.0,3542.0,17710.0,3.0,6.0]","[0.6302140421279157,0.3912374441757363,0.7806707061784249,0.8697390266817754,0.9460640980781114,0.5703221835347654]",2
195,NEKOR972606591,Agent/Insurance Broker,6399,75939,Vehicle loan,4958,1652,3,4956,1,3,"[6399.0,75939.0,1652.0,4956.0,1.0,3.0]","[0.14795243994484103,0.03054352994426044,0.3641072858855895,0.24338941932438615,0.3153546993593705,0.2851610917673827]",2
196,NEKOR615161168,Police/Military,7265,1127462,Vehicle loan,5713,317,11,3487,0,18,"[7265.0,1127462.0,317.0,3487.0,0.0,18.0]","[0.16797538305973905,0.45347804630052757,0.0698680445676343,0.17124675245846135,0.0,1.7109665506042964]",2
197,NEKOR559181653,Agent/Insurance Broker,16151,197709,Personal loan,4332,361,12,4332,0,12,"[16151.0,197709.0,361.0,4332.0,0.0,12.0]","[0.3734302012109904,0.0795208096202187,0.07956581731519237,0.21274474667337384,0.0,1.1406443670695308]",2
198,NEKOR736254482,Charity Officer,14421,62599,Occupational Loans,9782,271,27,7317,1,36,"[14421.0,62599.0,271.0,7317.0,1.0,36.0]","[0.33343055734404636,0.025178030142361096,0.059729463967914495,0.35933825286451443,0.3153546993593705,3.4219331012085927]",2
201,NEKOR878609990,Street Vendor,7982,56857,Vehicle loan,7437,206,33,6798,0,36,"[7982.0,56857.0,206.0,6798.0,0.0,36.0]","[0.18455327014216613,0.022868532401543552,0.04540320877265825,0.33385013570766287,0.0,3.4219331012085927]",2
203,NEKOR814714221,Agent/Insurance Broker,22235,492347,Personal loan,9245,3081,3,9243,4,3,"[22235.0,492347.0,3081.0,9243.0,4.0,3.0]","[0.5140994690066479,0.19802756603941052,0.679064496255146,0.4539242136431197,1.261418797437482,0.2851610917673827]",2
205,NEKOR373854213,Employee,11007,185152,Personal loan,10346,862,6,5172,0,12,"[11007.0,185152.0,862.0,5172.0,0.0,12.0]","[0.2544948439557533,0.07447024132843083,0.18998818428170589,0.25399719062665965,0.0,1.1406443670695308]",2
212,NEKOR771605870,Charity Officer,3027,166296,Occupational Loans,3010,125,12,1500,8,24,"[3027.0,166296.0,125.0,1500.0,8.0,24.0]","[0.06998781617643911,0.06688614355747026,0.02755049076010816,0.07366507848801034,2.522837594874964,2.2812887341390615]",2
216,NEKOR294660970,Other,7231,58871,Vehicle loan,5555,1851,3,5553,2,3,"[7231.0,58871.0,1851.0,5553.0,2.0,3.0]","[0.16718926289125574,0.023678586119761338,0.40796766717568167,0.2727081205626143,0.630709398718741,0.2851610917673827]",2
