Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
97,NEKOR320682051,Police/Military,8402,1428622,Occupational Loans,3678,102,21,2142,9,36,"[8402.0,1428622.0,102.0,2142.0,9.0,36.0]","[0.19426416634107743,0.5746080253365101,0.02248120046024826,0.10519373208087876,2.8381922942343345,3.4219331012085927]",0
104,NEKOR323208939,Docter/Nurse/Pharmacist,61275,1837899,Occupational Loans,27172,754,5,3770,8,36,"[61275.0,1837899.0,754.0,3770.0,8.0,36.0]","[1.416750391876877,0.7392238920847828,0.16618456026497244,0.18514489726653263,2.522837594874964,3.4219331012085927]",0
110,NEKOR292616913,Judge/Attorney,42971,1672189,Personal loan,11963,1993,6,11958,5,6,"[42971.0,1672189.0,1993.0,11958.0,5.0,6.0]","[0.9935402870557531,0.6725734443956718,0.43926502467916456,0.5872580057064184,1.5767734967968525,0.5703221835347654]",0
123,NEKOR712751878,Judge/Attorney,31852,1594105,Vehicle loan,12584,1398,9,12582,0,9,"[31852.0,1594105.0,1398.0,12582.0,0.0,9.0]","[0.7364558707802902,0.6411671710424852,0.3081246886610497,0.6179026783574307,0.0,0.8554832753021482]",0
124,NEKOR435886041,Retired,20801,2684100,Personal loan,3891,216,10,2160,1,18,"[20801.0,2684100.0,216.0,2160.0,1.0,18.0]","[0.4809436948417938,1.0795755635890576,0.0476072480334669,0.10607771302273489,0.3153546993593705,1.7109665506042964]",0
133,NEKOR423724120,Judge/Attorney,148128,2304369,Vehicle loan,10582,3527,3,10581,7,3,"[148128.0,2304369.0,3527.0,10581.0,7.0,3.0]","[3.42489436226745,0.9268434342580951,0.7773646472872119,0.5196334636544249,2.2074828955155934,0.2851610917673827]",0
138,NEKOR464522417,Judge/Attorney,47075,1569143,Personal loan,34701,11567,3,34701,4,3,"[47075.0,1569143.0,11567.0,34701.0,4.0,3.0]","[1.0884296156279718,0.6311271705885864,2.549412212977369,1.7041679257416311,1.261418797437482,0.2851610917673827]",0
141,NEKOR232859745,Teacher/Instructor,15914,3056124,Personal loan,13574,4524,3,13572,0,3,"[15914.0,3056124.0,4524.0,13572.0,0.0,3.0]","[0.3679504812130333,1.229207849818578,0.9971073615898346,0.6665216301595175,0.0,0.2851610917673827]",0
144,NEKOR163118175,Police/Military,5309,1690330,Vehicle loan,3457,576,4,2304,1,6,"[5309.0,1690330.0,576.0,2304.0,1.0,6.0]","[0.12275035219052369,0.6798699610303237,0.1269526614225784,0.11314956055758388,0.3153546993593705,0.5703221835347654]",0
146,NEKOR156885924,Street Vendor,3239,1505021,Vehicle loan,3108,172,3,516,3,18,"[3239.0,1505021.0,172.0,516.0,3.0,18.0]","[0.0748895066387467,0.6053365725153188,0.03790947528590883,0.025340786999875554,0.9460640980781114,1.7109665506042964]",0
148,NEKOR297714602,Street Vendor,13899,1995977,Occupational Loans,3613,602,3,1806,7,6,"[13899.0,1995977.0,602.0,1806.0,7.0,6.0]","[0.3213613006396852,0.8028046625259105,0.1326831635006809,0.08869275449956444,2.2074828955155934,0.5703221835347654]",0
149,NEKOR470993354,Docter/Nurse/Pharmacist,22832,1221510,Vehicle loan,17403,483,9,4347,4,36,"[22832.0,1221510.0,483.0,4347.0,4.0,36.0]","[0.5279028143179576,0.4913052221152974,0.10645509629705793,0.21348139745825395,1.261418797437482,3.4219331012085927]",0
152,NEKOR367363595,Street Vendor,16387,1619774,Personal loan,8469,470,3,1410,0,18,"[16387.0,1619774.0,470.0,1410.0,0.0,18.0]","[0.3788868000275215,0.6514915349416572,0.10358984525800669,0.06924517377872971,0.0,1.7109665506042964]",0
153,NEKOR649774052,Teacher/Instructor,9577,1805120,Vehicle loan,3888,108,14,1512,0,36,"[9577.0,1805120.0,108.0,1512.0,0.0,36.0]","[0.221431554516603,0.726039805277702,0.02380362401673345,0.07425439911591442,0.0,3.4219331012085927]",0
168,NEKOR863687484,Docter/Nurse/Pharmacist,34190,1292086,Occupational Loans,31138,864,9,7776,8,36,"[34190.0,1292086.0,864.0,7776.0,8.0,36.0]","[0.7905131929542296,0.5196916924315529,0.1904289921338676,0.38187976688184555,2.522837594874964,3.4219331012085927]",0
175,NEKOR205965163,Business Owner/Personal Business,121847,1882206,Vehicle loan,109356,36452,3,109356,5,3,"[121847.0,1882206.0,36452.0,109356.0,5.0,3.0]","[2.8172465932112902,0.7570446716741946,8.034163913499702,5.370478882089905,1.5767734967968525,0.2851610917673827]",0
177,NEKOR871611642,Teacher/Instructor,21616,1783337,Vehicle loan,10231,852,3,2556,7,12,"[21616.0,1783337.0,852.0,2556.0,7.0,12.0]","[0.4997874577039669,0.7172784347990832,0.18778414502089724,0.1255252937435696,2.2074828955155934,1.1406443670695308]",0
190,NEKOR945755143,Teacher/Instructor,11593,1907568,Occupational Loans,8563,356,4,1424,3,24,"[11593.0,1907568.0,356.0,1424.0,3.0,24.0]","[0.2680438562713771,0.7672455566798746,0.07846379768478805,0.06993271451128448,0.9460640980781114,2.2812887341390615]",0
215,NEKOR655615635,Street Vendor,41404,1604741,Occupational Loans,19788,6596,3,19788,4,3,"[41404.0,1604741.0,6596.0,19788.0,4.0,3.0]","[0.9573093957612436,0.6454450912743445,1.4537842964293874,0.9717897154138323,1.261418797437482,0.2851610917673827]",0
226,NEKOR602699798,Docter/Nurse/Pharmacist,11491,1904934,Personal loan,3294,1098,3,3294,1,3,"[11491.0,1904934.0,1098.0,3294.0,1.0,3.0]","[0.26568549576592726,0.7661861319063962,0.2420035108367901,0.16176851235967069,0.3153546993593705,0.2851610917673827]",0
232,NEKOR826401028,Street Vendor,11430,1634703,Occupational Loans,6084,2028,3,6084,2,3,"[11430.0,1634703.0,2028.0,6084.0,2.0,3.0]","[0.2642751036989425,0.657496148625507,0.44697916209199484,0.2987855583473699,0.630709398718741,0.2851610917673827]",0
236,NEKOR285644094,Judge/Attorney,99994,2779186,Vehicle loan,74765,4153,18,74754,8,18,"[99994.0,2779186.0,4153.0,74754.0,8.0,18.0]","[2.3119794155093665,1.1178202348156994,0.9153375050138336,3.671172851528483,2.522837594874964,1.7109665506042964]",0
241,NEKOR006256415,Judge/Attorney,26057,2212302,Personal loan,14947,1660,3,4980,8,9,"[26057.0,2212302.0,1660.0,4980.0,8.0,9.0]","[0.6024686244167405,0.8898130391860212,0.3658705172942364,0.2445680605801943,2.522837594874964,0.8554832753021482]",0
242,NEKOR943962819,Docter/Nurse/Pharmacist,10997,1659540,Occupational Loans,10503,437,6,2622,3,24,"[10997.0,1659540.0,437.0,2622.0,3.0,24.0]","[0.2542636321414935,0.6674858726569742,0.09631651569733814,0.12876655719704205,0.9460640980781114,2.2812887341390615]",0
243,NEKOR446351043,Judge/Attorney,62376,1230471,Vehicle loan,32017,10672,3,32016,4,3,"[62376.0,1230471.0,10672.0,32016.0,4.0,3.0]","[1.4422068126268799,0.49490943828657324,2.3521506991349943,1.5723074352480926,1.261418797437482,0.2851610917673827]",0
246,NEKOR998394917,Business Owner/Personal Business,238315,1328998,Personal loan,24765,2063,11,22693,6,12,"[238315.0,1328998.0,2063.0,22693.0,6.0,12.0]","[5.510124351532238,0.5345381188699119,0.4546932995048251,1.1144544174189457,1.8921281961562229,1.1406443670695308]",0
250,NEKOR182609461,Tour Guide,17541,2082183,Occupational Loans,13704,380,21,7980,7,36,"[17541.0,2082183.0,380.0,7980.0,7.0,36.0]","[0.4055686433931015,0.8374776967030121,0.08375349191072881,0.39189821755621496,2.2074828955155934,3.4219331012085927]",0
252,NEKOR472300011,Docter/Nurse/Pharmacist,28314,1258779,Personal loan,27169,9056,3,27168,5,3,"[28314.0,1258779.0,9056.0,27168.0,5.0,3.0]","[0.6546531308951756,0.506295238016121,1.995977954588316,1.334221901574843,1.5767734967968525,0.2851610917673827]",0
253,NEKOR872648492,Docter/Nurse/Pharmacist,30484,1344739,Vehicle loan,19093,530,14,7420,3,36,"[30484.0,1344739.0,530.0,7420.0,3.0,36.0]","[0.7048260945895506,0.5408693281938772,0.1168140808228586,0.36439658825402443,0.9460640980781114,3.4219331012085927]",0
260,NEKOR386658098,Business Owner/Personal Business,97527,2429958,Occupational Loans,20075,557,8,4456,5,36,"[97527.0,2429958.0,557.0,4456.0,5.0,36.0]","[2.2549394609314755,0.9773567591921833,0.12276498682704197,0.21883439316171605,1.5767734967968525,3.4219331012085927]",0
276,NEKOR156376896,Police/Military,7822,1398698,Occupational Loans,5540,153,4,612,7,36,"[7822.0,1398698.0,153.0,612.0,7.0,36.0]","[0.18085388111400946,0.5625722520177667,0.03372180069037239,0.030055352023108217,2.2074828955155934,3.4219331012085927]",0
280,NEKOR583353266,Judge/Attorney,38137,2368526,Personal loan,28805,800,29,23200,5,36,"[38137.0,2368526.0,800.0,23200.0,5.0,36.0]","[0.8817724960425696,0.9526481097296435,0.17632314086469225,1.1393532139478932,1.5767734967968525,3.4219331012085927]",0
283,NEKOR245593097,Business Owner/Personal Business,48699,3089733,Occupational Loans,29957,9985,3,29955,5,3,"[48699.0,3089733.0,9985.0,29955.0,5.0,3.0]","[1.125978414263762,1.2427257720706046,2.20073320191744,1.4710916174055664,1.5767734967968525,0.2851610917673827]",0
292,NEKOR858156962,Teacher/Instructor,34848,2473990,Occupational Loans,14107,2351,5,11755,3,6,"[34848.0,2473990.0,2351.0,11755.0,3.0,6.0]","[0.805726930332524,0.9950669306522457,0.5181696302161143,0.5772886650843744,0.9460640980781114,0.5703221835347654]",0
293,NEKOR559959771,Docter/Nurse/Pharmacist,54929,1973491,Vehicle loan,31990,1332,19,25308,7,24,"[54929.0,1973491.0,1332.0,25308.0,7.0,24.0]","[1.2700233745476126,0.7937605374475366,0.29357802953971257,1.2428772042497103,2.2074828955155934,2.2812887341390615]",0
304,NEKOR172220055,Teacher/Instructor,12676,2251862,Personal loan,5612,467,11,5137,7,12,"[12676.0,2251862.0,467.0,5137.0,7.0,12.0]","[0.2930840957557126,0.905724521357171,0.1029286334797641,0.2522783387952727,2.2074828955155934,1.1406443670695308]",0
306,NEKOR011041254,Retired,13444,1971478,Occupational Loans,9994,416,17,7072,0,24,"[13444.0,1971478.0,416.0,7072.0,0.0,24.0]","[0.3108411630908646,0.7929508859406982,0.09168803324963996,0.34730629004480607,0.0,2.2812887341390615]",0
310,NEKOR093865260,Street Vendor,11437,2777907,Personal loan,8192,455,11,5005,2,18,"[11437.0,2777907.0,455.0,5005.0,2.0,18.0]","[0.26443695196892436,1.1173058064613792,0.1002837863667937,0.24579581188832783,0.630709398718741,1.7109665506042964]",0
323,NEKOR262301182,Other,60477,1784724,Personal loan,43635,2424,9,21816,1,18,"[60477.0,1784724.0,2424.0,21816.0,1.0,18.0]","[1.3982996890989454,0.7178363019823841,0.5342591168200175,1.0713849015296224,0.3153546993593705,1.7109665506042964]",0
327,NEKOR592721947,Docter/Nurse/Pharmacist,22100,1390453,Personal loan,8832,981,8,7848,3,9,"[22100.0,1390453.0,981.0,7848.0,3.0,9.0]","[0.5109781095141408,0.559256019194179,0.21621625148532886,0.38541569064927006,0.9460640980781114,0.8554832753021482]",0
330,NEKOR682446608,Teacher/Instructor,11227,1977201,Occupational Loans,10479,582,15,8730,5,18,"[11227.0,1977201.0,582.0,8730.0,5.0,18.0]","[0.2595815038694687,0.7952527416653061,0.1282750849790636,0.42873075680022016,1.5767734967968525,1.7109665506042964]",0
332,NEKOR097115051,Business Owner/Personal Business,246302,2567985,Occupational Loans,66692,7410,9,66690,7,9,"[246302.0,2567985.0,7410.0,66690.0,7.0,9.0]","[5.694793227581534,1.0328727892639045,1.633193092259212,3.2751493895769395,2.2074828955155934,0.8554832753021482]",0
341,NEKOR135567870,Other,11152,2148261,Vehicle loan,4300,179,6,1074,6,24,"[11152.0,2148261.0,179.0,1074.0,6.0,24.0]","[0.25784741526252025,0.8640550202344892,0.03945230276847489,0.0527441961974154,1.8921281961562229,2.2812887341390615]",0
345,NEKOR195211344,Other,28445,2022669,Vehicle loan,24354,8118,3,24354,1,3,"[28445.0,2022669.0,8118.0,24354.0,1.0,3.0]","[0.657682005661979,0.8135404886662626,1.7892390719244644,1.1960262143313358,0.3153546993593705,0.2851610917673827]",0
347,NEKOR224492202,Docter/Nurse/Pharmacist,48727,1542087,Personal loan,33315,1388,7,9716,0,24,"[48727.0,1542087.0,1388.0,9716.0,0.0,24.0]","[1.1266258073436894,0.6202449395061135,0.30592064940024105,0.4771532683930056,0.0,2.2812887341390615]",0
352,NEKOR862484837,Other,5192,2610844,Vehicle loan,4938,137,28,3836,4,36,"[5192.0,2610844.0,137.0,3836.0,4.0,36.0]","[0.12004517396368412,1.050111166775869,0.030195337873078546,0.1883861607200051,1.261418797437482,3.4219331012085927]",0
364,NEKOR275299791,Business Owner/Personal Business,3995,3103437,Occupational Loans,3067,85,15,1275,10,36,"[3995.0,3103437.0,85.0,1275.0,10.0,36.0]","[0.09236911979678698,1.2482376768146246,0.01873433371687355,0.06261531671480879,3.153546993593705,3.4219331012085927]",0
367,NEKOR654567693,Judge/Attorney,126908,1233274,Occupational Loans,39003,4333,9,38997,8,9,"[126908.0,1233274.0,4333.0,38997.0,8.0,9.0]","[2.934262892408171,0.4960368367831793,0.9550102117083893,1.9151447105312926,2.522837594874964,0.8554832753021482]",0
369,NEKOR499787719,Docter/Nurse/Pharmacist,48218,1390310,Personal loan,31860,10620,3,31860,3,3,"[48218.0,1390310.0,10620.0,31860.0,3.0,3.0]","[1.1148571259978661,0.5591985029669173,2.3406896949787894,1.5646462670853396,0.9460640980781114,0.2851610917673827]",0
373,NEKOR029465748,Tour Guide,11287,1300660,Personal loan,5460,455,7,3185,3,12,"[11287.0,1300660.0,455.0,3185.0,3.0,12.0]","[0.2609687747550275,0.5231402527989806,0.1002837863667937,0.15641551665620862,0.9460640980781114,1.1406443670695308]",0
389,NEKOR674896470,Police/Military,25695,1969295,Personal loan,20829,578,25,14450,5,36,"[25695.0,1969295.0,578.0,14450.0,5.0,36.0]","[0.5940987567405361,0.7920728584993529,0.12739346927474013,0.7096402561011662,1.5767734967968525,3.4219331012085927]",0
392,NEKOR257533949,Street Vendor,18992,3059132,Vehicle loan,13255,736,9,6624,6,18,"[18992.0,3059132.0,736.0,6624.0,6.0,18.0]","[0.4391174776421974,1.2304177016479718,0.16221728959551684,0.3253049866030536,1.8921281961562229,1.7109665506042964]",0
395,NEKOR116425941,Tour Guide,4099,2627241,Occupational Loans,3530,294,5,1470,7,12,"[4099.0,2627241.0,294.0,1470.0,7.0,12.0]","[0.09477372266508882,1.0567062267647551,0.0647987542677744,0.07219177691825013,2.2074828955155934,1.1406443670695308]",0
398,NEKOR405746646,Docter/Nurse/Pharmacist,61831,1887009,Personal loan,48987,16329,3,48987,10,3,"[61831.0,1887009.0,16329.0,48987.0,10.0,3.0]","[1.4296057687497212,0.758976492929706,3.5989757089744496,2.4057541332614414,3.153546993593705,0.2851610917673827]",0
402,NEKOR191366345,Other,12857,1584783,Vehicle loan,11753,326,21,6846,6,36,"[12857.0,1584783.0,326.0,6846.0,6.0,36.0]","[0.29726902959381485,0.637417756563227,0.07185167990236209,0.3362074182192792,1.8921281961562229,3.4219331012085927]",0
404,NEKOR136591509,Politician/Family Member or Close Asscociates,9240,1373190,Vehicle loan,9006,500,5,2500,2,18,"[9240.0,1373190.0,500.0,2500.0,2.0,18.0]","[0.213639716376048,0.5523126441506866,0.11020196304043264,0.12277513081335056,0.630709398718741,1.7109665506042964]",0
410,NEKOR806522028,Retired,5664,1246958,Personal loan,4500,187,20,3740,9,24,"[5664.0,1246958.0,187.0,3740.0,9.0,24.0]","[0.1309583715967463,0.5015406972996104,0.04121553417712181,0.18367159569677244,2.8381922942343345,2.2812887341390615]",0
418,NEKOR551083527,Other,28904,2776627,Occupational Loans,17288,5762,3,17286,6,3,"[28904.0,2776627.0,5762.0,17286.0,6.0,3.0]","[0.6682946279365034,1.1167909758956798,1.2699674220779458,0.8489163644958311,1.8921281961562229,0.2851610917673827]",0
420,NEKOR022822728,Judge/Attorney,32087,2032501,Occupational Loans,29517,819,7,5733,4,36,"[32087.0,2032501.0,819.0,5733.0,4.0,36.0]","[0.7418893484153952,0.8174950309490419,0.18051081546022868,0.2815479299811755,1.261418797437482,3.4219331012085927]",0
421,NEKOR062533407,Judge/Attorney,108301,2261370,Occupational Loans,98371,8197,6,49182,4,12,"[108301.0,2261370.0,8197.0,49182.0,4.0,12.0]","[2.5040470696149755,0.9095487471530074,1.8066509820848529,2.415330593464883,1.261418797437482,1.1406443670695308]",0
424,NEKOR325364311,Retired,10053,2994454,Vehicle loan,8437,468,9,4212,4,18,"[10053.0,2994454.0,468.0,4212.0,4.0,18.0]","[0.2324372368753691,1.2044034740477285,0.10314903740584495,0.206851540394333,1.261418797437482,1.7109665506042964]",0
425,NEKOR981310466,Judge/Attorney,74378,1300839,Occupational Loans,51319,4276,4,17104,8,12,"[74378.0,1300839.0,4276.0,17104.0,8.0,12.0]","[1.7197072321014826,0.5232122486359025,0.9424471879217801,0.8399783349726192,2.522837594874964,1.1406443670695308]",0
427,NEKOR197989178,Judge/Attorney,36089,3169344,Occupational Loans,5332,296,15,4440,4,18,"[36089.0,3169344.0,296.0,4440.0,4.0,18.0]","[0.8344203164821641,1.2747462222002155,0.06523956211993613,0.2180486323245106,1.261418797437482,1.7109665506042964]",0
428,NEKOR232780684,Other,21680,2445125,Occupational Loans,14675,1630,5,8150,4,9,"[21680.0,2445125.0,1630.0,8150.0,4.0,9.0]","[0.5012672133152295,0.9834570991843428,0.35925839951181043,0.4002469264515228,1.261418797437482,0.8554832753021482]",0
434,NEKOR390561898,Docter/Nurse/Pharmacist,22031,1383042,Vehicle loan,5925,658,8,5264,7,9,"[22031.0,1383042.0,658.0,5264.0,7.0,9.0]","[0.5093827479957482,0.5562752306610549,0.14502578336120936,0.2585153154405909,2.2074828955155934,0.8554832753021482]",0
435,NEKOR872527519,Other,63595,2103176,Personal loan,61568,1710,25,42750,10,36,"[63595.0,2103176.0,1710.0,42750.0,10.0,36.0]","[1.4703915327851487,0.8459213201918632,0.37689071359827964,2.0994547369082945,3.153546993593705,3.4219331012085927]",0
437,NEKOR244094035,Politician/Family Member or Close Asscociates,8641,1345466,Personal loan,6980,775,6,4650,2,9,"[8641.0,1345466.0,775.0,4650.0,2.0,9.0]","[0.19979012870188645,0.5411617358667393,0.17081304271267062,0.22836174331283204,0.630709398718741,0.8554832753021482]",0
438,NEKOR534172403,Street Vendor,14739,2489671,Occupational Loans,12987,1082,4,4328,7,12,"[14739.0,2489671.0,1082.0,4328.0,7.0,12.0]","[0.34078309303750776,1.0013740072934438,0.23847704801949626,0.2125483064640725,2.2074828955155934,1.1406443670695308]",0
442,NEKOR306080169,Tour Guide,26166,3165179,Vehicle loan,24863,4143,3,12429,9,6,"[26166.0,3165179.0,4143.0,12429.0,9.0,6.0]","[0.6049888331921723,1.2730710118047948,0.9131334657530249,0.6103888403516536,2.8381922942343345,0.5703221835347654]",0
445,NEKOR512834658,Street Vendor,17409,2282360,Personal loan,9040,1506,6,9036,8,6,"[17409.0,2282360.0,1506.0,9036.0,8.0,6.0]","[0.40251664744487226,0.9179911640077201,0.3319283126777831,0.44375843281177424,2.522837594874964,0.5703221835347654]",0
450,NEKOR567754651,Teacher/Instructor,8622,1725211,Occupational Loans,3538,294,6,1764,3,12,"[8622.0,1725211.0,294.0,1764.0,3.0,12.0]","[0.19935082625479283,0.6938994961570142,0.0647987542677744,0.08663013230190016,0.9460640980781114,1.1406443670695308]",0
451,NEKOR764682123,Docter/Nurse/Pharmacist,16799,1419727,Vehicle loan,16737,5579,3,16737,8,3,"[16799.0,1419727.0,5579.0,16737.0,8.0,3.0]","[0.3884127267750249,0.5710303551162781,1.2296335036051476,0.8219549457692193,2.522837594874964,0.2851610917673827]",0
459,NEKOR873670634,Other,17332,1825486,Vehicle loan,7249,302,23,6946,7,24,"[17332.0,1825486.0,302.0,6946.0,7.0,24.0]","[0.40073631647507185,0.734231242231636,0.06656198567642133,0.3411184234518132,2.2074828955155934,2.2812887341390615]",0
460,NEKOR566525401,Other,60173,2156229,Occupational Loans,31865,1327,3,3981,2,24,"[60173.0,2156229.0,1327.0,3981.0,2.0,24.0]","[1.3912708499454476,0.8672598405059685,0.2924760099093083,0.19550711830717943,0.630709398718741,2.2812887341390615]",0
462,NEKOR189199007,Lawyer/Accountant,18063,2795848,Occupational Loans,4775,1591,3,4773,5,3,"[18063.0,2795848.0,1591.0,4773.0,5.0,3.0]","[0.41763790009746266,1.1245218808201407,0.35066264639465666,0.2344022797488489,1.5767734967968525,0.2851610917673827]",0
465,NEKOR077367601,Politician/Family Member or Close Asscociates,12736,1452035,Occupational Loans,12278,1023,10,10230,6,12,"[12736.0,1452035.0,1023.0,10230.0,6.0,12.0]","[0.2944713666412714,0.5840250003636367,0.2254732163807252,0.5023958352882305,1.8921281961562229,1.1406443670695308]",0
468,NEKOR394853090,Tour Guide,6884,1916361,Personal loan,4986,1662,3,4986,1,3,"[6884.0,1916361.0,1662.0,4986.0,1.0,3.0]","[0.15916621293644095,0.7707822013394025,0.36631132514639814,0.24486272089414635,0.3153546993593705,0.2851610917673827]",0
469,NEKOR866622139,Judge/Attorney,32529,1723430,Vehicle loan,30587,10195,3,30585,6,3,"[32529.0,1723430.0,10195.0,30585.0,6.0,3.0]","[0.7521089106056781,0.6931831576902089,2.2470180263944215,1.5020309503705307,1.8921281961562229,0.2851610917673827]",0
