Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments
26,NEKOR805775719,Retired,23388,3366939,Vehicle loan,16795,933,15,13995,7,18
27,NEKOR332740527,Teacher/Instructor,9838,2729249,Vehicle loan,6508,542,4,2168,9,12
28,NEKOR298460408,Judge/Attorney,37848,586824,Vehicle loan,8843,368,14,5152,4,24
29,NEKOR098918502,Teacher/Instructor,23265,3097224,Personal loan,3283,364,7,2548,2,9
30,NEKOR449651655,Politician/Family Member or Close Asscociates,16449,7740310,Occupational Loans,4073,678,5,3390,0,6
31,NEKOR637202385,Tour Guide,18485,1571676,Occupational Loans,12897,537,3,1611,0,24
32,NEKOR515828133,Agent/Insurance Broker,47611,383618,Vehicle loan,29266,1625,3,4875,3,18
33,NEKOR219975811,Police/Military,15451,1196651,Occupational Loans,12562,1046,4,4184,2,12
34,NEKOR627219562,Police/Military,4002,828212,Personal loan,3398,188,16,3008,0,18
35,NEKOR858211061,Charity Officer,9481,282783,Occupational Loans,5329,592,8,4736,10,9
36,NEKOR903212690,Employee,26935,168375,Occupational Loans,21082,3513,6,21078,2,6
37,NEKOR309038126,Judge/Attorney,83889,1252282,Vehicle loan,77193,3216,12,38592,6,24
38,NEKOR211274689,Judge/Attorney,71887,2461181,Vehicle loan,71375,2973,10,29730,5,24
39,NEKOR443514512,Student,3182,50334,Occupational Loans,3044,126,22,2772,3,24
40,NEKOR225656906,Judge/Attorney,51049,1943533,Occupational Loans,12103,4034,3,12102,4,3
41,NEKOR972688695,Police/Military,7767,1287967,Occupational Loans,3719,206,11,2266,3,18
42,NEKOR783583190,Tour Guide,35632,4175442,Vehicle loan,30826,5137,3,15411,2,6
43,NEKOR473838445,Retired,34159,9944624,Occupational Loans,6892,287,9,2583,3,24
44,NEKOR091091415,Lawyer/Accountant,52855,2957941,Vehicle loan,10022,1670,5,8350,0,6
45,NEKOR684105718,Teacher/Instructor,30207,2856292,Occupational Loans,19259,802,21,16842,10,24
46,NEKOR366882041,Student,3665,42432,Occupational Loans,3527,293,3,879,5,12
47,NEKOR613304906,Househusband/Housewife/Unemployed,4766,38247,Personal loan,4527,251,5,1255,6,18
48,NEKOR083439164,Other,3129,829094,Personal loan,3077,341,6,2046,3,9
49,NEKOR523122432,Agent/Insurance Broker,4858,468398,Occupational Loans,4293,477,7,3339,5,9
50,NEKOR270302409,Student,4163,138023,Vehicle loan,4115,1371,3,4113,3,3
51,NEKOR100838230,Politician/Family Member or Close Asscociates,14363,5393481,Occupational Loans,11253,625,15,9375,1,18
52,NEKOR630134658,Lawyer/Accountant,102727,390442,Vehicle loan,51445,2858,10,28580,7,18
53,NEKOR030926160,Teacher/Instructor,17430,3094609,Vehicle loan,17061,473,15,7095,9,36
54,NEKOR509106497,Employee,10539,102952,Personal loan,9249,3083,3,9249,10,3
55,NEKOR396860361,Charity Officer,6905,796492,Occupational Loans,6220,518,4,2072,6,12
56,NEKOR915417988,Street Vendor,10759,4790590,Occupational Loans,10757,1792,6,10752,1,6
57,NEKOR767988109,Househusband/Housewife/Unemployed,3036,196523,Vehicle loan,3003,83,31,2573,6,36
58,NEKOR067568016,Politician/Family Member or Close Asscociates,20691,7053269,Vehicle loan,12662,4220,3,12660,10,3
59,NEKOR698468485,Lawyer/Accountant,28153,432228,Vehicle loan,18618,1551,3,4653,9,12
60,NEKOR536619619,Police/Military,20471,1228672,Vehicle loan,14323,2387,6,14322,1,6
61,NEKOR455297759,Judge/Attorney,45995,3505182,Vehicle loan,27175,4529,3,13587,5,6
62,NEKOR737588148,Student,8368,132745,Personal loan,4527,188,11,2068,0,24
63,NEKOR782036432,Retired,3415,4203767,Vehicle loan,3065,1021,3,3063,6,3
64,NEKOR595683126,Police/Military,18313,723984,Occupational Loans,9204,383,7,2681,9,24
65,NEKOR183718917,Police/Military,13649,122200,Personal loan,8295,921,6,5526,3,9
66,NEKOR337582299,Docter/Nurse/Pharmacist,3598,843016,Personal loan,3100,344,3,1032,3,9
67,NEKOR442651102,Docter/Nurse/Pharmacist,44410,50063,Vehicle loan,20147,1119,5,5595,4,18
68,NEKOR826250021,Agent/Insurance Broker,28914,183688,Occupational Loans,7437,413,13,5369,1,18
69,NEKOR710163018,Lawyer/Accountant,76561,3522545,Personal loan,70198,1949,31,60419,7,36
70,NEKOR988322157,Lawyer/Accountant,65347,3418931,Vehicle loan,58338,19446,3,58338,6,3
71,NEKOR954856527,Judge/Attorney,124432,285684,Personal loan,41477,13825,3,41475,10,3
72,NEKOR858170039,Agent/Insurance Broker,12091,107265,Personal loan,5180,143,36,5148,2,36
73,NEKOR399337037,Teacher/Instructor,31922,858308,Occupational Loans,13012,4337,3,13011,8,3
74,NEKOR615770665,Docter/Nurse/Pharmacist,66989,620792,Occupational Loans,30570,1273,4,5092,1,24
75,NEKOR506837983,Employee,12358,95290,Personal loan,6401,266,9,2394,1,24
76,NEKOR598813358,Street Vendor,15580,1960432,Vehicle loan,4083,680,5,3400,8,6
77,NEKOR262509789,Business Owner/Personal Business,41227,4861176,Occupational Loans,25755,1430,8,11440,6,18
78,NEKOR969993744,Tour Guide,21252,2768698,Occupational Loans,11010,1223,6,7338,9,9
79,NEKOR182186938,Retired,3539,2254803,Occupational Loans,3211,535,5,2675,4,6
80,NEKOR266520803,Docter/Nurse/Pharmacist,30540,687485,Personal loan,20277,1126,16,18016,2,18
81,NEKOR732045469,Retired,4356,7120237,Vehicle loan,4062,451,4,1804,8,9
82,NEKOR887575384,Police/Military,30681,1870550,Personal loan,10013,278,22,6116,4,36
83,NEKOR137678393,Politician/Family Member or Close Asscociates,3130,3845121,Personal loan,3126,1042,3,3126,9,3
84,NEKOR572419907,Househusband/Housewife/Unemployed,6367,163818,Personal loan,6027,1004,6,6024,1,6
85,NEKOR336646016,Student,17649,17327,Occupational Loans,11372,315,23,7245,8,36
86,NEKOR876975877,Househusband/Housewife/Unemployed,6465,90914,Vehicle loan,4594,127,36,4572,1,36
87,NEKOR223205615,Judge/Attorney,22049,2875269,Occupational Loans,20698,862,10,8620,9,24
88,NEKOR920636008,Teacher/Instructor,19079,489606,Vehicle loan,8686,723,11,7953,2,12
89,NEKOR272611995,Docter/Nurse/Pharmacist,52111,21875,Occupational Loans,16326,5442,3,16326,0,3
90,NEKOR537390299,Retired,14041,8129210,Occupational Loans,8650,2883,3,8649,7,3
91,NEKOR272577429,Househusband/Housewife/Unemployed,3100,70532,Personal loan,3062,85,5,425,1,36
92,NEKOR559266531,Tour Guide,70844,2467774,Vehicle loan,45412,2522,15,37830,0,18
93,NEKOR603025374,Business Owner/Personal Business,9444,2319245,Vehicle loan,3786,631,5,3155,10,6
94,NEKOR645747426,Business Owner/Personal Business,80620,8253628,Vehicle loan,43332,7222,6,43332,6,6
95,NEKOR505453411,Tour Guide,24421,908609,Vehicle loan,21693,1807,5,9035,10,12
96,NEKOR357451829,Other,7170,4848031,Vehicle loan,5816,484,12,5808,6,12
97,NEKOR320682051,Police/Military,8402,1428622,Occupational Loans,3678,102,21,2142,9,36
98,NEKOR069597273,Retired,15366,5307232,Occupational Loans,5455,151,4,604,0,36
99,NEKOR171822076,Student,21674,38163,Vehicle loan,10513,1168,4,4672,1,9
100,NEKOR584279399,Teacher/Instructor,16500,4092685,Occupational Loans,16004,2667,4,10668,7,6
101,NEKOR446955449,Business Owner/Personal Business,34163,6566918,Vehicle loan,32490,902,25,22550,9,36
102,NEKOR551026407,Tour Guide,31417,705287,Occupational Loans,27252,3028,6,18168,9,9
103,NEKOR569353779,Student,9738,110735,Personal loan,6015,501,10,5010,6,12
104,NEKOR323208939,Docter/Nurse/Pharmacist,61275,1837899,Occupational Loans,27172,754,5,3770,8,36
105,NEKOR922075166,Other,70694,4156152,Personal loan,54225,3012,11,33132,1,18
106,NEKOR645205320,Househusband/Housewife/Unemployed,3650,10000,Vehicle loan,3637,202,15,3030,0,18
107,NEKOR607261218,Retired,27053,5091878,Occupational Loans,7968,664,8,5312,6,12
108,NEKOR080549730,Employee,33734,34372,Personal loan,15375,5125,3,15375,0,3
109,NEKOR832518983,Agent/Insurance Broker,32949,458257,Personal loan,19692,820,9,7380,9,24
110,NEKOR292616913,Judge/Attorney,42971,1672189,Personal loan,11963,1993,6,11958,5,6
111,NEKOR359145171,Househusband/Housewife/Unemployed,7550,128258,Personal loan,6624,1104,3,3312,4,6
112,NEKOR759033429,Student,25740,59972,Vehicle loan,20713,575,36,20700,5,36
113,NEKOR630236400,Street Vendor,14403,449800,Personal loan,3595,599,6,3594,6,6
114,NEKOR461362050,Police/Military,13585,366424,Occupational Loans,10524,1169,9,10521,0,9
115,NEKOR167816783,Police/Military,10772,490087,Vehicle loan,6475,359,18,6462,6,18
116,NEKOR520257926,Business Owner/Personal Business,111555,3215041,Vehicle loan,90318,15053,6,90318,1,6
117,NEKOR789932842,Street Vendor,5439,687356,Vehicle loan,4656,194,14,2716,5,24
118,NEKOR375282843,Charity Officer,14963,810950,Vehicle loan,13750,572,20,11440,2,24
119,NEKOR586058558,Police/Military,5977,87606,Occupational Loans,3655,406,9,3654,8,9
120,NEKOR367007657,Business Owner/Personal Business,36260,9310679,Vehicle loan,30650,1277,15,19155,5,24
121,NEKOR493223851,Employee,46654,24457,Personal loan,43054,3587,9,32283,10,12
122,NEKOR764341423,Agent/Insurance Broker,18646,340195,Personal loan,4181,232,16,3712,5,18
123,NEKOR712751878,Judge/Attorney,31852,1594105,Vehicle loan,12584,1398,9,12582,0,9
124,NEKOR435886041,Retired,20801,2684100,Personal loan,3891,216,10,2160,1,18
125,NEKOR438138545,Politician/Family Member or Close Asscociates,10017,7682707,Vehicle loan,7321,305,4,1220,3,24
126,NEKOR779452357,Charity Officer,9336,681847,Personal loan,3027,336,5,1680,5,9
127,NEKOR509980825,Business Owner/Personal Business,75202,8970174,Vehicle loan,48996,2722,5,13610,6,18
128,NEKOR063178371,Student,28287,83991,Vehicle loan,26321,4386,4,17544,6,6
129,NEKOR061690843,Retired,19550,6951212,Occupational Loans,12440,691,3,2073,8,18
130,NEKOR289886564,Tour Guide,9292,3412533,Occupational Loans,5310,885,4,3540,10,6
131,NEKOR973427279,Other,13388,3284155,Occupational Loans,4973,552,8,4416,7,9
132,NEKOR789884118,Docter/Nurse/Pharmacist,53406,243545,Vehicle loan,49557,8259,5,41295,5,6
133,NEKOR423724120,Judge/Attorney,148128,2304369,Vehicle loan,10582,3527,3,10581,7,3
134,NEKOR344413602,Employee,22560,95238,Personal loan,6892,765,3,2295,0,9
135,NEKOR235039240,Politician/Family Member or Close Asscociates,11475,9098369,Occupational Loans,4561,1520,3,4560,1,3
136,NEKOR116226235,Retired,38310,7128047,Occupational Loans,15199,1266,10,12660,2,12
137,NEKOR041194100,Lawyer/Accountant,30817,217953,Occupational Loans,20422,850,4,3400,8,24
138,NEKOR464522417,Judge/Attorney,47075,1569143,Personal loan,34701,11567,3,34701,4,3
139,NEKOR371854470,Employee,9089,76998,Occupational Loans,5669,629,7,4403,5,9
140,NEKOR282252083,Student,9507,86334,Occupational Loans,4648,516,5,2580,1,9
141,NEKOR232859745,Teacher/Instructor,15914,3056124,Personal loan,13574,4524,3,13572,0,3
142,NEKOR513544440,Student,22006,111068,Occupational Loans,10019,278,7,1946,2,36
143,NEKOR558872200,Other,35033,3504888,Occupational Loans,4163,115,27,3105,6,36
144,NEKOR163118175,Police/Military,5309,1690330,Vehicle loan,3457,576,4,2304,1,6
145,NEKOR082224880,Judge/Attorney,46452,4364909,Vehicle loan,33109,3678,9,33102,3,9
146,NEKOR156885924,Street Vendor,3239,1505021,Vehicle loan,3108,172,3,516,3,18
147,NEKOR524652455,Politician/Family Member or Close Asscociates,10042,7704898,Personal loan,6725,373,10,3730,9,18
148,NEKOR297714602,Street Vendor,13899,1995977,Occupational Loans,3613,602,3,1806,7,6
149,NEKOR470993354,Docter/Nurse/Pharmacist,22832,1221510,Vehicle loan,17403,483,9,4347,4,36
150,NEKOR773297926,Police/Military,11111,968043,Personal loan,3812,105,32,3360,3,36
151,NEKOR805097562,Docter/Nurse/Pharmacist,9088,567011,Personal loan,8982,374,20,7480,1,24
152,NEKOR367363595,Street Vendor,16387,1619774,Personal loan,8469,470,3,1410,0,18
153,NEKOR649774052,Teacher/Instructor,9577,1805120,Vehicle loan,3888,108,14,1512,0,36
154,NEKOR636229674,Student,4949,190529,Occupational Loans,4288,119,15,1785,5,36
155,NEKOR403349105,Politician/Family Member or Close Asscociates,5990,4165507,Personal loan,5104,212,16,3392,9,24
156,NEKOR300473137,Street Vendor,9476,3225005,Vehicle loan,3796,421,3,1263,10,9
157,NEKOR460797077,Agent/Insurance Broker,3963,385403,Vehicle loan,3645,303,11,3333,1,12
158,NEKOR091592724,Retired,8022,8247969,Personal loan,7621,2540,3,7620,9,3
159,NEKOR511793020,Employee,27352,108611,Occupational Loans,22524,3754,4,15016,2,6
160,NEKOR179941162,Charity Officer,3636,225203,Vehicle loan,3300,1100,3,3300,0,3
161,NEKOR017304291,Teacher/Instructor,5013,3534150,Vehicle loan,4509,250,12,3000,0,18
162,NEKOR040768081,Teacher/Instructor,36791,4703578,Personal loan,15626,1736,7,12152,2,9
163,NEKOR283443428,Politician/Family Member or Close Asscociates,6947,252485,Personal loan,6528,725,4,2900,9,9
164,NEKOR039477945,Other,23410,765462,Personal loan,5077,1692,3,5076,3,3
165,NEKOR139598827,Househusband/Housewife/Unemployed,5024,54926,Occupational Loans,4894,271,10,2710,10,18
166,NEKOR297466062,Politician/Family Member or Close Asscociates,27672,9523216,Occupational Loans,24175,2014,10,20140,7,12
167,NEKOR645054585,Employee,57705,198036,Occupational Loans,40832,6805,6,40830,9,6
168,NEKOR863687484,Docter/Nurse/Pharmacist,34190,1292086,Occupational Loans,31138,864,9,7776,8,36
169,NEKOR521673668,Street Vendor,6423,3364939,Personal loan,3469,96,14,1344,8,36
170,NEKOR621193397,Business Owner/Personal Business,103247,9110284,Personal loan,89900,9988,7,69916,5,9
171,NEKOR647119197,Politician/Family Member or Close Asscociates,12911,9169187,Occupational Loans,11652,971,3,2913,4,12
172,NEKOR442665571,Agent/Insurance Broker,41177,382950,Personal loan,21043,2338,9,21042,4,9
173,NEKOR302469916,Other,67817,62637,Vehicle loan,50307,2794,8,22352,1,18
174,NEKOR846024026,Other,4687,659554,Occupational Loans,3214,133,3,399,0,24
175,NEKOR205965163,Business Owner/Personal Business,121847,1882206,Vehicle loan,109356,36452,3,109356,5,3
176,NEKOR750277009,Tour Guide,17151,4510584,Vehicle loan,9144,762,10,7620,3,12
177,NEKOR871611642,Teacher/Instructor,21616,1783337,Vehicle loan,10231,852,3,2556,7,12
178,NEKOR100934422,Business Owner/Personal Business,22052,8248393,Vehicle loan,16422,5474,3,16422,9,3
179,NEKOR738753678,Lawyer/Accountant,48914,414901,Occupational Loans,9458,394,12,4728,5,24
180,NEKOR879076060,Charity Officer,8041,90589,Vehicle loan,5673,157,20,3140,3,36
181,NEKOR421234154,Politician/Family Member or Close Asscociates,12248,9111569,Occupational Loans,6713,2237,3,6711,7,3
182,NEKOR740450022,Docter/Nurse/Pharmacist,20062,20852,Vehicle loan,13532,4510,3,13530,9,3
183,NEKOR643635752,Street Vendor,27650,3556886,Occupational Loans,4957,826,4,3304,1,6
184,NEKOR293130359,Employee,9591,142655,Vehicle loan,5377,1792,3,5376,3,3
185,NEKOR960789858,Politician/Family Member or Close Asscociates,14152,8486368,Occupational Loans,13724,762,4,3048,10,18
186,NEKOR996028030,Lawyer/Accountant,41965,8211664,Personal loan,38841,1618,22,35596,5,24
187,NEKOR942148459,Teacher/Instructor,25775,981004,Vehicle loan,14488,603,7,4221,2,24
188,NEKOR429823485,Teacher/Instructor,4925,546897,Personal loan,4190,232,3,696,2,18
189,NEKOR861153145,Business Owner/Personal Business,121929,4793288,Occupational Loans,39137,3261,11,35871,9,12
190,NEKOR945755143,Teacher/Instructor,11593,1907568,Occupational Loans,8563,356,4,1424,3,24
191,NEKOR675994135,Tour Guide,5770,3958257,Personal loan,3330,370,7,2590,1,9
192,NEKOR190278842,Charity Officer,6875,420710,Vehicle loan,4572,1524,3,4572,10,3
193,NEKOR814078461,Student,25338,67335,Occupational Loans,8680,1446,5,7230,7,6
194,NEKOR230454120,Docter/Nurse/Pharmacist,27257,972716,Occupational Loans,21253,3542,5,17710,3,6
195,NEKOR972606591,Agent/Insurance Broker,6399,75939,Vehicle loan,4958,1652,3,4956,1,3
196,NEKOR615161168,Police/Military,7265,1127462,Vehicle loan,5713,317,11,3487,0,18
197,NEKOR559181653,Agent/Insurance Broker,16151,197709,Personal loan,4332,361,12,4332,0,12
198,NEKOR736254482,Charity Officer,14421,62599,Occupational Loans,9782,271,27,7317,1,36
199,NEKOR955217496,Judge/Attorney,36197,3233271,Occupational Loans,25125,1395,5,6975,8,18
200,NEKOR183663724,Retired,15189,9984391,Vehicle loan,12859,2143,4,8572,8,6
201,NEKOR878609990,Street Vendor,7982,56857,Vehicle loan,7437,206,33,6798,0,36
202,NEKOR944014712,Other,23532,4522107,Personal loan,9240,1540,5,7700,10,6
203,NEKOR814714221,Agent/Insurance Broker,22235,492347,Personal loan,9245,3081,3,9243,4,3
204,NEKOR841744625,Other,28172,3886242,Occupational Loans,10654,591,3,1773,8,18
205,NEKOR373854213,Employee,11007,185152,Personal loan,10346,862,6,5172,0,12
206,NEKOR540398404,Lawyer/Accountant,23671,3649854,Occupational Loans,23330,972,22,21384,5,24
207,NEKOR925842473,Judge/Attorney,109129,3606260,Vehicle loan,32153,10717,3,32151,0,3
208,NEKOR206459615,Politician/Family Member or Close Asscociates,23550,9278573,Personal loan,10486,3495,3,10485,9,3
209,NEKOR619381677,Business Owner/Personal Business,335648,9483920,Vehicle loan,291274,8090,4,32360,6,36
210,NEKOR090017602,Tour Guide,62553,4751052,Personal loan,21604,900,6,5400,5,24
211,NEKOR711040637,Teacher/Instructor,25415,3197866,Vehicle loan,24254,673,33,22209,10,36
212,NEKOR771605870,Charity Officer,3027,166296,Occupational Loans,3010,125,12,1500,8,24
213,NEKOR987995373,Judge/Attorney,26104,4820623,Occupational Loans,21680,7226,3,21678,1,3
214,NEKOR657583640,Retired,3728,7869814,Occupational Loans,3448,143,4,572,9,24
215,NEKOR655615635,Street Vendor,41404,1604741,Occupational Loans,19788,6596,3,19788,4,3
216,NEKOR294660970,Other,7231,58871,Vehicle loan,5555,1851,3,5553,2,3
217,NEKOR302109964,Charity Officer,6230,777084,Vehicle loan,3977,110,29,3190,0,36
218,NEKOR498934334,Househusband/Housewife/Unemployed,3782,182161,Personal loan,3505,292,11,3212,8,12
219,NEKOR626234362,Street Vendor,71410,4417413,Vehicle loan,58437,19479,3,58437,6,3
220,NEKOR402660642,Househusband/Housewife/Unemployed,6220,34459,Personal loan,4824,134,9,1206,1,36
221,NEKOR942081396,Teacher/Instructor,25564,645822,Personal loan,18023,1001,17,17017,10,18
222,NEKOR894364835,Student,13421,154218,Occupational Loans,5287,146,30,4380,10,36
223,NEKOR059573916,Househusband/Housewife/Unemployed,3391,16207,Vehicle loan,3218,1072,3,3216,2,3
224,NEKOR806498142,Street Vendor,54039,3884993,Personal loan,32771,5461,3,16383,2,6
225,NEKOR925688440,Police/Military,17526,718505,Occupational Loans,4893,815,3,2445,9,6
226,NEKOR602699798,Docter/Nurse/Pharmacist,11491,1904934,Personal loan,3294,1098,3,3294,1,3
227,NEKOR336462936,Tour Guide,20542,4598785,Vehicle loan,15977,887,16,14192,10,18
228,NEKOR739111883,Employee,30704,130903,Vehicle loan,6592,274,9,2466,9,24
229,NEKOR556948894,Househusband/Housewife/Unemployed,5694,36514,Personal loan,4084,226,5,1130,8,18
230,NEKOR646777998,Lawyer/Accountant,43287,731175,Personal loan,26060,2895,6,17370,10,9
231,NEKOR601924722,Employee,32784,46999,Occupational Loans,21969,610,20,12200,10,36
232,NEKOR826401028,Street Vendor,11430,1634703,Occupational Loans,6084,2028,3,6084,2,3
233,NEKOR959723585,Student,22764,26973,Occupational Loans,14946,4982,3,14946,6,3
234,NEKOR911680933,Agent/Insurance Broker,20538,175381,Occupational Loans,17865,744,12,8928,6,24
235,NEKOR622323060,Tour Guide,4888,4796492,Occupational Loans,3925,436,7,3052,4,9
236,NEKOR285644094,Judge/Attorney,99994,2779186,Vehicle loan,74765,4153,18,74754,8,18
237,NEKOR015818747,Employee,15755,102661,Personal loan,11040,306,14,4284,5,36
238,NEKOR404882651,Police/Military,9515,66728,Occupational Loans,3100,516,4,2064,4,6
239,NEKOR422597909,Agent/Insurance Broker,13386,444021,Occupational Loans,6294,349,13,4537,0,18
240,NEKOR063541929,Lawyer/Accountant,13208,5724377,Vehicle loan,3305,137,24,3288,9,24
241,NEKOR006256415,Judge/Attorney,26057,2212302,Personal loan,14947,1660,3,4980,8,9
242,NEKOR943962819,Docter/Nurse/Pharmacist,10997,1659540,Occupational Loans,10503,437,6,2622,3,24
243,NEKOR446351043,Judge/Attorney,62376,1230471,Vehicle loan,32017,10672,3,32016,4,3
244,NEKOR120908262,Docter/Nurse/Pharmacist,27415,781826,Occupational Loans,3123,520,5,2600,10,6
245,NEKOR987045360,Business Owner/Personal Business,14874,4764222,Vehicle loan,10544,878,3,2634,4,12
246,NEKOR998394917,Business Owner/Personal Business,238315,1328998,Personal loan,24765,2063,11,22693,6,12
247,NEKOR681342567,Househusband/Housewife/Unemployed,4646,17212,Personal loan,3418,569,4,2276,3,6
248,NEKOR027210209,Househusband/Housewife/Unemployed,5319,147567,Occupational Loans,4041,449,7,3143,5,9
249,NEKOR155790165,Teacher/Instructor,10683,3348426,Occupational Loans,6809,1134,4,4536,10,6
250,NEKOR182609461,Tour Guide,17541,2082183,Occupational Loans,13704,380,21,7980,7,36
251,NEKOR785269510,Student,18362,48984,Vehicle loan,3058,509,6,3054,3,6
252,NEKOR472300011,Docter/Nurse/Pharmacist,28314,1258779,Personal loan,27169,9056,3,27168,5,3
253,NEKOR872648492,Docter/Nurse/Pharmacist,30484,1344739,Vehicle loan,19093,530,14,7420,3,36
254,NEKOR687999928,Judge/Attorney,51599,3273940,Vehicle loan,12215,1017,5,5085,4,12
255,NEKOR497900505,Docter/Nurse/Pharmacist,3940,871350,Occupational Loans,3642,404,4,1616,3,9
256,NEKOR043578807,Agent/Insurance Broker,35757,242712,Personal loan,30999,3444,4,13776,3,9
257,NEKOR183536076,Other,11264,987621,Occupational Loans,4417,1472,3,4416,0,3
258,NEKOR930910472,Street Vendor,27830,3299833,Personal loan,21119,2346,8,18768,0,9
259,NEKOR822134673,Tour Guide,20984,4806883,Occupational Loans,5121,213,14,2982,2,24
260,NEKOR386658098,Business Owner/Personal Business,97527,2429958,Occupational Loans,20075,557,8,4456,5,36
261,NEKOR314328865,Judge/Attorney,39648,1129402,Occupational Loans,29969,9989,3,29967,1,3
262,NEKOR169401476,Student,26583,140275,Vehicle loan,24268,2022,3,6066,9,12
263,NEKOR253613283,Teacher/Instructor,11661,414693,Occupational Loans,5707,317,5,1585,8,18
264,NEKOR025383063,Charity Officer,7059,624137,Personal loan,3917,435,6,2610,1,9
265,NEKOR991106118,Docter/Nurse/Pharmacist,26593,114750,Personal loan,25727,8575,3,25725,5,3
266,NEKOR908268220,Student,16510,89177,Personal loan,6565,182,12,2184,3,36
267,NEKOR352449073,Retired,20878,3375991,Vehicle loan,10074,839,8,6712,0,12
268,NEKOR916472828,Police/Military,10748,738969,Occupational Loans,7385,1230,4,4920,9,6
269,NEKOR349454400,Househusband/Housewife/Unemployed,4926,119631,Vehicle loan,3285,91,3,273,5,36
270,NEKOR723408709,Docter/Nurse/Pharmacist,82339,97452,Occupational Loans,45095,7515,6,45090,10,6
271,NEKOR769291433,Teacher/Instructor,6047,4720987,Occupational Loans,3777,419,4,1676,3,9
272,NEKOR465105685,Other,20031,588112,Personal loan,6738,374,13,4862,0,18
273,NEKOR699302073,Docter/Nurse/Pharmacist,11567,1159569,Vehicle loan,5794,482,3,1446,4,12
274,NEKOR225053074,Charity Officer,6748,202848,Vehicle loan,3272,363,6,2178,0,9
275,NEKOR434748577,Docter/Nurse/Pharmacist,83848,589881,Personal loan,73098,4061,10,40610,3,18
276,NEKOR156376896,Police/Military,7822,1398698,Occupational Loans,5540,153,4,612,7,36
277,NEKOR634488667,Employee,19797,78198,Occupational Loans,4777,1592,3,4776,1,3
278,NEKOR764781378,Tour Guide,20742,24347,Personal loan,17769,987,4,3948,9,18
279,NEKOR723565955,Student,4399,12377,Occupational Loans,3735,1245,3,3735,10,3
280,NEKOR583353266,Judge/Attorney,38137,2368526,Personal loan,28805,800,29,23200,5,36
281,NEKOR590161546,Business Owner/Personal Business,150781,5119600,Personal loan,22973,1914,10,19140,1,12
282,NEKOR478006819,Househusband/Housewife/Unemployed,6185,181710,Personal loan,5402,450,11,4950,10,12
283,NEKOR245593097,Business Owner/Personal Business,48699,3089733,Occupational Loans,29957,9985,3,29955,5,3
284,NEKOR327441688,Student,8822,139719,Occupational Loans,6881,382,10,3820,9,18
285,NEKOR715631484,Judge/Attorney,43460,965250,Occupational Loans,33375,1390,3,4170,2,24
