Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
61,NEKOR455297759,Judge/Attorney,45995,3505182,Vehicle loan,27175,4529,3,13587,5,6,"[45995.0,3505182.0,4529.0,13587.0,5.0,6.0]","[1.0634587396879143,1.4098240874528596,0.998209381220239,0.6672582809443977,1.5767734967968525,0.5703221835347654]",3
63,NEKOR782036432,Retired,3415,4203767,Vehicle loan,3065,1021,3,3063,6,3,"[3415.0,4203767.0,1021.0,3063.0,6.0,3.0]","[0.07895883456971904,1.690802923967841,0.22503240852856346,0.1504240902725171,1.8921281961562229,0.2851610917673827]",3
69,NEKOR710163018,Lawyer/Accountant,76561,3522545,Personal loan,70198,1949,31,60419,7,36,"[76561.0,3522545.0,1949.0,60419.0,7.0,36.0]","[1.770180771154395,1.416807683634297,0.42956725193160644,2.9671802514447307,2.2074828955155934,3.4219331012085927]",3
70,NEKOR988322157,Lawyer/Accountant,65347,3418931,Vehicle loan,58338,19446,3,58338,6,3,"[65347.0,3418931.0,19446.0,58338.0,6.0,3.0]","[1.510899842643464,1.3751329537636825,4.285974746568507,2.864982232555698,1.8921281961562229,0.2851610917673827]",3
77,NEKOR262509789,Business Owner/Personal Business,41227,4861176,Occupational Loans,25755,1430,8,11440,6,18,"[41227.0,4861176.0,1430.0,11440.0,6.0,18.0]","[0.9532169466488454,1.955220304722477,0.3151776142956374,0.5618189986018921,1.8921281961562229,1.7109665506042964]",3
83,NEKOR137678393,Politician/Family Member or Close Asscociates,3130,3845121,Personal loan,3126,1042,3,3126,9,3,"[3130.0,3845121.0,1042.0,3126.0,9.0,3.0]","[0.07236929786331496,1.5465514215726393,0.22966089097626163,0.15351802356901353,2.8381922942343345,0.2851610917673827]",3
96,NEKOR357451829,Other,7170,4848031,Vehicle loan,5816,484,12,5808,6,12,"[7170.0,4848031.0,484.0,5808.0,6.0,12.0]","[0.165778870824271,1.949933236139571,0.1066755002231388,0.285231183905576,1.8921281961562229,1.1406443670695308]",3
98,NEKOR069597273,Retired,15366,5307232,Occupational Loans,5455,151,4,604,0,36,"[15366.0,5307232.0,151.0,604.0,0.0,36.0]","[0.3552800737915967,2.1346291037956413,0.03328099283821066,0.029662471604505494,0.0,3.4219331012085927]",3
100,NEKOR584279399,Teacher/Instructor,16500,4092685,Occupational Loans,16004,2667,4,10668,7,6,"[16500.0,4092685.0,2667.0,10668.0,7.0,6.0]","[0.38149949352865714,1.6461244795154735,0.5878172708576678,0.5239060382067295,2.2074828955155934,0.5703221835347654]",3
105,NEKOR922075166,Other,70694,4156152,Personal loan,54225,3012,11,33132,1,18,"[70694.0,4156152.0,3012.0,33132.0,1.0,18.0]","[1.634528799728175,1.6716516291351995,0.6638566253555662,1.6271142536431722,0.3153546993593705,1.7109665506042964]",3
107,NEKOR607261218,Retired,27053,5091878,Occupational Loans,7968,664,8,5312,6,12,"[27053.0,5091878.0,664.0,5312.0,6.0,12.0]","[0.6254973211170158,2.0480112743849794,0.14634820691769457,0.26087259795220724,1.8921281961562229,1.1406443670695308]",3
116,NEKOR520257926,Business Owner/Personal Business,111555,3215041,Vehicle loan,90318,15053,6,90318,1,6,"[111555.0,3215041.0,15053.0,90318.0,1.0,6.0]","[2.579283393975112,1.2931260756070666,3.317740299295265,4.435521705920078,0.3153546993593705,0.5703221835347654]",3
130,NEKOR289886564,Tour Guide,9292,3412533,Occupational Loans,5310,885,4,3540,10,6,"[9292.0,3412533.0,885.0,3540.0,10.0,6.0]","[0.21484201781019893,1.372559605357944,0.19505747458156578,0.17384958523170438,3.153546993593705,0.5703221835347654]",3
131,NEKOR973427279,Other,13388,3284155,Occupational Loans,4973,552,8,4416,7,9,"[13388.0,3284155.0,552.0,4416.0,7.0,9.0]","[0.30954637693100984,1.320924512886562,0.12166296719663765,0.21686999106870242,2.2074828955155934,0.8554832753021482]",3
143,NEKOR558872200,Other,35033,3504888,Occupational Loans,4163,115,27,3105,6,36,"[35033.0,3504888.0,115.0,3105.0,6.0,36.0]","[0.8100043488963301,1.4097058373073004,0.02534645149929951,0.1524867124701814,1.8921281961562229,3.4219331012085927]",3
145,NEKOR082224880,Judge/Attorney,46452,4364909,Vehicle loan,33109,3678,9,33102,3,9,"[46452.0,4364909.0,3678.0,33102.0,3.0,9.0]","[1.0740251195995867,1.7556160700756118,0.8106456401254226,1.625640952073412,0.9460640980781114,0.8554832753021482]",3
155,NEKOR403349105,Politician/Family Member or Close Asscociates,5990,4165507,Personal loan,5104,212,16,3392,9,24,"[5990.0,4165507.0,212.0,3392.0,9.0,24.0]","[0.13849587674161554,1.6754143165899797,0.046725632329143445,0.16658129748755404,2.8381922942343345,2.2812887341390615]",3
156,NEKOR300473137,Street Vendor,9476,3225005,Vehicle loan,3796,421,3,1263,10,9,"[9476.0,3225005.0,421.0,1263.0,10.0,9.0]","[0.2190963151925791,1.2971337097919335,0.09279005288004429,0.062025996086904706,3.153546993593705,0.8554832753021482]",3
161,NEKOR017304291,Teacher/Instructor,5013,3534150,Vehicle loan,4509,250,12,3000,0,18,"[5013.0,3534150.0,250.0,3000.0,0.0,18.0]","[0.11590648248843384,1.421475346692846,0.05510098152021632,0.14733015697602067,0.0,1.7109665506042964]",3
162,NEKOR040768081,Teacher/Instructor,36791,4703578,Personal loan,15626,1736,7,12152,2,9,"[36791.0,4703578.0,1736.0,12152.0,2.0,9.0]","[0.8506513858432015,1.8918325957434867,0.38262121567638213,0.5967853558575344,0.630709398718741,0.8554832753021482]",3
169,NEKOR521673668,Street Vendor,6423,3364939,Personal loan,3469,96,14,1344,8,36,"[6423.0,3364939.0,96.0,1344.0,8.0,36.0]","[0.14850734829906453,1.353416756964271,0.02115877690376307,0.06600391032525726,2.522837594874964,3.4219331012085927]",3
176,NEKOR750277009,Tour Guide,17151,4510584,Vehicle loan,9144,762,10,7620,3,12,"[17151.0,4510584.0,762.0,7620.0,3.0,12.0]","[0.39655138263696965,1.8142082127773875,0.16794779167361937,0.3742185987190925,0.9460640980781114,1.1406443670695308]",3
183,NEKOR643635752,Street Vendor,27650,3556886,Occupational Loans,4957,826,4,3304,1,6,"[27650.0,3556886.0,826.0,3304.0,1.0,6.0]","[0.6393006664283255,1.4306200246160832,0.18205364294279475,0.1622596128829241,0.3153546993593705,0.5703221835347654]",3
189,NEKOR861153145,Business Owner/Personal Business,121929,4793288,Occupational Loans,39137,3261,11,35871,9,12,"[121929.0,4793288.0,3261.0,35871.0,9.0,12.0]","[2.8191425300882207,1.9279149785941905,0.7187372029497018,1.7616266869622792,2.8381922942343345,1.1406443670695308]",3
191,NEKOR675994135,Tour Guide,5770,3958257,Personal loan,3330,370,7,2590,1,9,"[5770.0,3958257.0,370.0,2590.0,1.0,9.0]","[0.1334092168279001,1.5920560081984025,0.08154945264992015,0.12719503552263117,0.3153546993593705,0.8554832753021482]",3
199,NEKOR955217496,Judge/Attorney,36197,3233271,Occupational Loans,25125,1395,5,6975,8,18,"[36197.0,3233271.0,1395.0,6975.0,8.0,18.0]","[0.8369174040761699,1.3004583890544896,0.30746347688280706,0.34254261496924804,2.522837594874964,1.7109665506042964]",3
202,NEKOR944014712,Other,23532,4522107,Personal loan,9240,1540,5,7700,10,6,"[23532.0,4522107.0,1540.0,7700.0,10.0,6.0]","[0.5440876413161431,1.8188428945028212,0.33942204616453253,0.3781474029051197,3.153546993593705,0.5703221835347654]",3
204,NEKOR841744625,Other,28172,3886242,Occupational Loans,10654,591,3,1773,8,18,"[28172.0,3886242.0,591.0,1773.0,8.0,18.0]","[0.6513699231326866,1.5630907557071148,0.1302587203137914,0.08707212277282822,2.522837594874964,1.7109665506042964]",3
206,NEKOR540398404,Lawyer/Accountant,23671,3649854,Occupational Loans,23330,972,22,21384,5,24,"[23671.0,3649854.0,972.0,21384.0,5.0,24.0]","[0.5473014855343542,1.468012812141044,0.21423261615060107,1.0501693589250753,1.5767734967968525,2.2812887341390615]",3
207,NEKOR925842473,Judge/Attorney,109129,3606260,Vehicle loan,32153,10717,3,32151,0,3,"[109129.0,3606260.0,10717.0,32151.0,0.0,3.0]","[2.5231914078356863,1.450478809265182,2.3620688758086335,1.5789372923120135,0.0,0.2851610917673827]",3
210,NEKOR090017602,Tour Guide,62553,4751052,Personal loan,21604,900,6,5400,5,24,"[62553.0,4751052.0,900.0,5400.0,5.0,24.0]","[1.4462992617392783,1.9109271787716253,0.19836353347277877,0.2651942825568372,1.5767734967968525,2.2812887341390615]",3
211,NEKOR711040637,Teacher/Instructor,25415,3197866,Vehicle loan,24254,673,33,22209,10,36,"[25415.0,3197866.0,673.0,22209.0,10.0,36.0]","[0.5876248259412619,1.286218095164966,0.14833184225242235,1.090685152093481,3.153546993593705,3.4219331012085927]",3
213,NEKOR987995373,Judge/Attorney,26104,4820623,Occupational Loans,21680,7226,3,21678,1,3,"[26104.0,4820623.0,7226.0,21678.0,1.0,3.0]","[0.6035553199437615,1.9389094266515308,1.5926387698603326,1.0646077143087254,0.3153546993593705,0.2851610917673827]",3
219,NEKOR626234362,Street Vendor,71410,4417413,Vehicle loan,58437,19479,3,58437,6,3,"[71410.0,4417413.0,19479.0,58437.0,6.0,3.0]","[1.6510835656291762,1.7767337763423978,4.293248076129175,2.869844127735907,1.8921281961562229,0.2851610917673827]",3
224,NEKOR806498142,Street Vendor,54039,3884993,Personal loan,32771,5461,3,16383,2,6,"[54039.0,3884993.0,5461.0,16383.0,2.0,6.0]","[1.249445523078491,1.5625883936941782,1.2036258403276054,0.8045699872460489,0.630709398718741,0.5703221835347654]",3
227,NEKOR336462936,Tour Guide,20542,4598785,Vehicle loan,15977,887,16,14192,10,18,"[20542.0,4598785.0,887.0,14192.0,10.0,18.0]","[0.4749553088524652,1.8496836586564973,0.19549828243372752,0.6969698626012284,3.153546993593705,1.7109665506042964]",3
235,NEKOR622323060,Tour Guide,4888,4796492,Occupational Loans,3925,436,7,3052,4,9,"[4888.0,4796492.0,436.0,3052.0,4.0,9.0]","[0.11301633481018643,1.9292036638539571,0.09609611177125726,0.14988387969693837,1.261418797437482,0.8554832753021482]",3
240,NEKOR063541929,Lawyer/Accountant,13208,5724377,Vehicle loan,3305,137,24,3288,9,24,"[13208.0,5724377.0,137.0,3288.0,9.0,24.0]","[0.3053845642743336,2.3024095696774483,0.030195337873078546,0.16147385204571865,2.8381922942343345,2.2812887341390615]",3
245,NEKOR987045360,Business Owner/Personal Business,14874,4764222,Vehicle loan,10544,878,3,2634,4,12,"[14874.0,4764222.0,878.0,2634.0,4.0,12.0]","[0.34390445253001495,1.9162243026390176,0.19351464709899974,0.12935587782494615,1.261418797437482,1.1406443670695308]",3
249,NEKOR155790165,Teacher/Instructor,10683,3348426,Occupational Loans,6809,1134,4,4536,10,6,"[10683.0,3348426.0,1134.0,4536.0,10.0,6.0]","[0.24700358117373603,1.3467750404553682,0.24993805217570125,0.22276319734774325,3.153546993593705,0.5703221835347654]",3
254,NEKOR687999928,Judge/Attorney,51599,3273940,Vehicle loan,12215,1017,5,5085,4,12,"[51599.0,3273940.0,1017.0,5085.0,4.0,12.0]","[1.1930298403991018,1.3168159236454526,0.22415079282424,0.24972461607435503,1.261418797437482,1.1406443670695308]",3
258,NEKOR930910472,Street Vendor,27830,3299833,Personal loan,21119,2346,8,18768,0,9,"[27830.0,3299833.0,2346.0,18768.0,0.0,9.0]","[0.6434624790850018,1.327230382893622,0.5170676105857099,0.9216974620419853,0.0,0.8554832753021482]",3
259,NEKOR822134673,Tour Guide,20984,4806883,Occupational Loans,5121,213,14,2982,2,24,"[20984.0,4806883.0,213.0,2982.0,2.0,24.0]","[0.485174871042748,1.9333830422978504,0.04694603625522431,0.14644617603416454,0.630709398718741,2.2812887341390615]",3
267,NEKOR352449073,Retired,20878,3375991,Vehicle loan,10074,839,8,6712,0,12,"[20878.0,3375991.0,839.0,6712.0,0.0,12.0]","[0.4827240258115942,1.3578619971299826,0.184918893981846,0.3296266712076836,0.0,1.1406443670695308]",3
271,NEKOR769291433,Teacher/Instructor,6047,4720987,Occupational Loans,3777,419,4,1676,3,9,"[6047.0,4720987.0,419.0,1676.0,3.0,9.0]","[0.13981378408289635,1.898834693648379,0.09234924502788255,0.08230844769727022,0.9460640980781114,0.8554832753021482]",3
281,NEKOR590161546,Business Owner/Personal Business,150781,5119600,Personal loan,22973,1914,10,19140,1,12,"[150781.0,5119600.0,1914.0,19140.0,1.0,12.0]","[3.486234856590573,2.0591613782461677,0.42185311451877616,0.9399664015070118,0.3153546993593705,1.1406443670695308]",3
286,NEKOR390107386,Other,8065,4957397,Vehicle loan,5831,647,3,1941,2,9,"[8065.0,4957397.0,647.0,1941.0,2.0,9.0]","[0.18647232820052242,1.9939214858647978,0.14260134017431986,0.09532261156348537,0.630709398718741,0.8554832753021482]",3
288,NEKOR854135733,Teacher/Instructor,43809,4352042,Personal loan,10515,1168,9,10512,8,9,"[43809.0,4352042.0,1168.0,10512.0,8.0,9.0]","[1.0129158370907236,1.7504408162561937,0.2574317856624507,0.5162448700439765,2.522837594874964,0.8554832753021482]",3
296,NEKOR600106392,Business Owner/Personal Business,289155,3266325,Vehicle loan,242893,80964,3,242892,5,3,"[289155.0,3266325.0,80964.0,242892.0,5.0,3.0]","[6.685605215229022,1.3137530839909202,17.844783471211176,11.928438829406538,1.5767734967968525,0.2851610917673827]",3
299,NEKOR930347125,Politician/Family Member or Close Asscociates,9827,4398531,Personal loan,7057,784,9,7056,9,9,"[9827.0,4398531.0,784.0,7056.0,9.0,9.0]","[0.2272118498730978,1.7691392210755714,0.1727966780473984,0.3465205292076006,2.8381922942343345,0.8554832753021482]",3
300,NEKOR374621236,Judge/Attorney,48124,4407343,Vehicle loan,9356,519,18,9342,3,18,"[48124.0,4407343.0,519.0,9342.0,3.0,18.0]","[1.112683734943824,1.7726835077513088,0.11438963763596909,0.4587861088233284,0.9460640980781114,1.7109665506042964]",3
314,NEKOR470878839,Other,32378,4150515,Occupational Loans,24310,2701,8,21608,1,9,"[32378.0,4150515.0,2701.0,21608.0,1.0,9.0]","[0.7486176122103553,1.6693843635892245,0.5953110043444172,1.0611700106459516,0.3153546993593705,0.8554832753021482]",3
316,NEKOR985337935,Teacher/Instructor,28686,3986987,Occupational Loans,25273,4212,3,12636,1,6,"[28686.0,3986987.0,4212.0,12636.0,1.0,6.0]","[0.6632542103856399,1.6036115411300793,0.9283413366526047,0.6205546211829991,0.3153546993593705,0.5703221835347654]",3
317,NEKOR310306327,Lawyer/Accountant,56328,4727367,Vehicle loan,34942,2911,3,8733,9,12,"[56328.0,4727367.0,2911.0,8733.0,9.0,12.0]","[1.3023699073625576,1.9014008022492874,0.6415958288213989,0.42887808695719615,2.8381922942343345,1.1406443670695308]",3
320,NEKOR046844513,Street Vendor,60630,3383243,Vehicle loan,41184,3432,12,41184,1,12,"[60630.0,3383243.0,3432.0,41184.0,1.0,12.0]","[1.4018372298571202,1.3607788340537736,0.7564262743095297,2.0225483949668117,0.3153546993593705,1.1406443670695308]",3
321,NEKOR956032781,Other,14730,4111063,Vehicle loan,4548,189,21,3969,1,24,"[14730.0,4111063.0,189.0,3969.0,1.0,24.0]","[0.3405750024046739,1.6535163202470555,0.04165634202928354,0.19491779767927533,0.3153546993593705,2.2812887341390615]",3
344,NEKOR016916360,Teacher/Instructor,33683,3405433,Occupational Loans,4150,1383,3,4149,8,3,"[33683.0,3405433.0,1383.0,4149.0,8.0,3.0]","[0.7787907539712581,1.3697039045638297,0.3048186297698367,0.20375760709783658,2.522837594874964,0.2851610917673827]",3
349,NEKOR731807492,Street Vendor,3808,3810091,Occupational Loans,3154,350,5,1750,7,9,"[3808.0,3810091.0,350.0,1750.0,7.0,9.0]","[0.08804545887012888,1.5324619569504103,0.07714137412830285,0.08594259156934539,2.2074828955155934,0.8554832753021482]",3
351,NEKOR705599374,Tour Guide,53688,4188147,Vehicle loan,10431,1738,6,10428,8,6,"[53688.0,4188147.0,1738.0,10428.0,8.0,6.0]","[1.2413299883979725,1.6845203822207895,0.3830620235285439,0.5121196256486479,2.522837594874964,0.5703221835347654]",3
354,NEKOR650870257,Street Vendor,30497,3990759,Occupational Loans,19244,1603,6,9618,9,12,"[30497.0,3990759.0,1603.0,9618.0,9.0,12.0]","[0.7051266699480884,1.605128682453375,0.3533074935076271,0.4723404832651223,2.8381922942343345,1.1406443670695308]",3
358,NEKOR029348606,Lawyer/Accountant,17613,3414967,Personal loan,10969,914,11,10054,3,12,"[17613.0,3414967.0,914.0,10054.0,3.0,12.0]","[0.407233368455772,1.373538587855532,0.20144918843791088,0.4937524660789706,0.9460640980781114,1.1406443670695308]",3
366,NEKOR955159751,Judge/Attorney,130920,3912264,Occupational Loans,10010,1112,5,5560,3,9,"[130920.0,3912264.0,1112.0,5560.0,3.0,9.0]","[3.0270250722891996,1.5735571002232334,0.24508916580192222,0.27305189092889165,0.9460640980781114,0.8554832753021482]",3
370,NEKOR297135149,Teacher/Instructor,18491,3817679,Personal loan,9135,1015,6,6090,8,9,"[18491.0,3817679.0,1015.0,6090.0,8.0,9.0]","[0.4275337657477818,1.5355139368976976,0.22370998497207828,0.29908021866132195,2.522837594874964,0.8554832753021482]",3
377,NEKOR057475242,Judge/Attorney,114114,4888459,Vehicle loan,20848,2316,6,13896,10,9,"[114114.0,4888459.0,2316.0,13896.0,10.0,9.0]","[2.6384504972441927,1.9661938377880857,0.5104554928032841,0.6824332871129277,3.153546993593705,0.8554832753021482]",3
379,NEKOR488762924,Retired,13214,3615359,Personal loan,3674,612,5,3060,2,6,"[13214.0,3615359.0,612.0,3060.0,2.0,6.0]","[0.3055232913628894,1.4541385306068224,0.13488720276148955,0.15027676011554109,0.630709398718741,0.5703221835347654]",3
387,NEKOR922684299,Teacher/Instructor,32580,4294459,Vehicle loan,21820,606,16,9696,7,36,"[32580.0,4294459.0,606.0,9696.0,7.0,36.0]","[0.753288090858403,1.7272802783931676,0.13356477920500437,0.47617106734649883,2.2074828955155934,3.4219331012085927]",3
388,NEKOR600289152,Retired,22208,4009493,Occupational Loans,8087,2695,3,8085,9,3,"[22208.0,4009493.0,2695.0,8085.0,9.0,3.0]","[0.5134751971081466,1.6126637104360424,0.5939885807879319,0.39705477305037573,2.8381922942343345,0.2851610917673827]",3
393,NEKOR882050052,Retired,17446,3776057,Personal loan,14157,2359,6,14154,5,6,"[17446.0,3776057.0,2359.0,14154.0,5.0,6.0]","[0.4033721311576335,1.5187730948621163,0.5199328616247613,0.6951036806128655,1.5767734967968525,0.5703221835347654]",3
397,NEKOR792066035,Street Vendor,21649,4896814,Vehicle loan,15030,1252,4,5008,5,12,"[21649.0,4896814.0,1252.0,5008.0,5.0,12.0]","[0.5005504566910242,1.9695543138634133,0.27594571545324337,0.24594314204530385,1.5767734967968525,1.1406443670695308]",3
401,NEKOR235735195,Judge/Attorney,121060,4923402,Vehicle loan,12175,1014,3,3042,0,12,"[121060.0,4923402.0,1014.0,3042.0,0.0,12.0]","[2.7990502234290444,1.9802483100203023,0.22348958104599742,0.14939277917368496,0.0,1.1406443670695308]",3
408,NEKOR784020493,Business Owner/Personal Business,102486,4668396,Vehicle loan,88880,7406,9,66654,0,12,"[102486.0,4668396.0,7406.0,66654.0,0.0,12.0]","[2.3695973996229065,1.8776819949915808,1.6323114765548883,3.273381427693227,0.0,1.1406443670695308]",3
430,NEKOR818454945,Politician/Family Member or Close Asscociates,5997,3946650,Vehicle loan,4967,275,4,1100,8,18,"[5997.0,3946650.0,275.0,1100.0,8.0,18.0]","[0.1386577250115974,1.5873875407170948,0.06061107967223796,0.054021057557874244,2.522837594874964,1.7109665506042964]",3
449,NEKOR333786244,Tour Guide,3789,4310822,Vehicle loan,3612,602,6,3612,2,6,"[3789.0,4310822.0,602.0,3612.0,2.0,6.0]","[0.08760615642303526,1.7338616631951524,0.1326831635006809,0.1773855089991289,0.630709398718741,0.5703221835347654]",3
453,NEKOR013830049,Street Vendor,71233,4792906,Vehicle loan,33986,1416,12,16992,9,24,"[71233.0,4792906.0,1416.0,16992.0,9.0,24.0]","[1.6469911165167779,1.9277613338472397,0.31209195933050526,0.8344780091121811,2.8381922942343345,2.2812887341390615]",3
464,NEKOR041877080,Other,56409,4003513,Vehicle loan,14660,814,4,3256,3,18,"[56409.0,4003513.0,814.0,3256.0,3.0,18.0]","[1.304242723058062,1.6102584863869152,0.17940879582982436,0.15990233037130777,0.9460640980781114,1.7109665506042964]",3
467,NEKOR336436284,Business Owner/Personal Business,116892,3934184,Vehicle loan,23362,3893,6,23358,10,6,"[116892.0,3934184.0,3893.0,23358.0,10.0,6.0]","[2.702681139245563,1.582373573660837,0.8580324842328086,1.1471126022152969,3.153546993593705,0.5703221835347654]",3
473,NEKOR407562516,Business Owner/Personal Business,80296,5269421,Vehicle loan,74136,24712,3,74136,3,3,"[80296.0,5269421.0,24712.0,74136.0,3.0,3.0]","[1.8565383837804275,2.1194210893271546,5.446621821310343,3.6408228391914226,0.9460640980781114,0.2851610917673827]",3
479,NEKOR878561115,Street Vendor,51071,4848363,Occupational Loans,9933,413,3,1239,2,24,"[51071.0,4848363.0,413.0,1239.0,2.0,24.0]","[1.1808218566061848,1.9500667703175494,0.09102682147139737,0.06084735483109654,0.630709398718741,2.2812887341390615]",3
482,NEKOR705239654,Business Owner/Personal Business,181130,5564219,Personal loan,98300,16383,5,81915,1,6,"[181130.0,5564219.0,16383.0,81915.0,1.0,6.0]","[4.187939591687616,2.2379921995670586,3.6108775209828163,4.022849936230244,0.3153546993593705,0.5703221835347654]",3
484,NEKOR232760497,Business Owner/Personal Business,5822,5523285,Vehicle loan,5177,143,8,1144,5,36,"[5822.0,5523285.0,143.0,1144.0,5.0,36.0]","[0.13461151826205103,2.221528078960541,0.03151776142956374,0.05618189986018922,1.5767734967968525,3.4219331012085927]",3
486,NEKOR149221088,Lawyer/Accountant,99702,5372911,Personal loan,68584,22861,3,68583,1,3,"[99702.0,5372911.0,22861.0,68583.0,1.0,3.0]","[2.30522803053298,2.161045944986717,5.038654154134662,3.3681147186288087,0.3153546993593705,0.2851610917673827]",3
499,NEKOR280077955,Teacher/Instructor,15755,4091902,Occupational Loans,6265,522,10,5220,6,12,"[15755.0,4091902.0,522.0,5220.0,6.0,12.0]","[0.3642742133663026,1.645809548005362,0.11505084941421169,0.256354473138276,1.8921281961562229,1.1406443670695308]",3
504,NEKOR544738157,Judge/Attorney,39915,4223837,Vehicle loan,5892,327,9,2943,4,18,"[39915.0,4223837.0,327.0,2943.0,4.0,18.0]","[0.9228819566179606,1.6988753063534572,0.07207208382844295,0.14453088399347627,1.261418797437482,1.7109665506042964]",3
506,NEKOR159514680,Other,3234,4247256,Occupational Loans,3052,169,3,507,0,18,"[3234.0,4247256.0,169.0,507.0,0.0,18.0]","[0.0747739007316168,1.7082946946488604,0.03724826350766623,0.024898796528947494,0.0,1.7109665506042964]",3
523,NEKOR616789882,Politician/Family Member or Close Asscociates,3394,5051337,Personal loan,3363,186,4,744,8,18,"[3394.0,5051337.0,186.0,744.0,8.0,18.0]","[0.07847328975977348,2.0317052228505865,0.04099513025104094,0.03653787893005313,2.522837594874964,1.7109665506042964]",3
531,NEKOR745274251,Tour Guide,53189,4994867,Personal loan,47865,3988,5,19940,5,12,"[53189.0,4994867.0,3988.0,19940.0,5.0,12.0]","[1.2297925188664087,2.0089923462528914,0.8789708572104908,0.9792544433672841,1.5767734967968525,1.1406443670695308]",3
538,NEKOR761974160,Retired,19714,5891824,Occupational Loans,6494,721,9,6489,10,9,"[19714.0,5891824.0,721.0,6489.0,10.0,9.0]","[0.45581097063175435,2.3697586585326684,0.15891123070430388,0.3186751295391327,3.153546993593705,0.8554832753021482]",3
542,NEKOR577099036,Business Owner/Personal Business,430083,3734067,Occupational Loans,190276,31712,5,158560,5,6,"[430083.0,3734067.0,31712.0,158560.0,5.0,6.0]","[9.94402707122942,1.5018842390388962,6.9894493038764,7.7868898967059454,1.5767734967968525,0.5703221835347654]",3
544,NEKOR590200586,Retired,34188,3833514,Personal loan,21392,3565,6,21390,8,6,"[34188.0,3833514.0,3565.0,21390.0,8.0,6.0]","[0.7904669505913776,1.5418829540913315,0.7857399964782847,1.0504640192390273,2.522837594874964,0.5703221835347654]",3
545,NEKOR932585691,Judge/Attorney,103227,3316089,Vehicle loan,73234,3051,21,64071,0,24,"[103227.0,3316089.0,3051.0,64071.0,0.0,24.0]","[2.386730195059557,1.3337687310780055,0.67245237847272,3.1465301625368736,0.0,2.2812887341390615]",3
547,NEKOR536238377,Street Vendor,18289,4615138,Occupational Loans,7214,601,6,3606,0,12,"[18289.0,4615138.0,601.0,3606.0,0.0,12.0]","[0.422863287099734,1.8562610213446877,0.13246275957460005,0.17709084868517685,0.0,1.1406443670695308]",3
